VIT_01s0011g00230	Vitvi01g00024
VIT_12s0028g03210	Vitvi12g04064
VIT_12s0028g03240	Vitvi12g02300
VIT_12s0028g03260	Vitvi12g00272
VIT_12s0028g03350	Vitvi12g00280
VIT_12s0059g00450	Vitvi12g00353
VIT_12s0059g00750	Vitvi12g00380
VIT_12s0059g01130	Vitvi12g00415
VIT_12s0059g01600	Vitvi12g00459
VIT_12s0057g01170	Vitvi12g00736
VIT_12s0057g01200	Vitvi12g02504
VIT_12s0057g01240	Vitvi12g00745
VIT_12s0057g01270	Vitvi12g02505
VIT_12s0057g01410	Vitvi12g00764
VIT_12s0057g01420	Vitvi12g00765
VIT_12s0057g01480	Vitvi12g00770
VIT_12s0055g00920	Vitvi12g01610
VIT_12s0055g00840	Vitvi12g01618
VIT_12s0034g02380	Vitvi12g01915
VIT_12s0035g00320	Vitvi12g01973
VIT_12s0035g00760	Vitvi12g02013
VIT_12s0035g01800	Vitvi12g02122
VIT_12s0035g01920	Vitvi12g02139
VIT_12s0035g01950	Vitvi12g02141
VIT_12s0035g02100	Vitvi12g02758
VIT_12s0035g02110	Vitvi12g02159
VIT_13s0067g00330	Vitvi13g00019
VIT_13s0067g00400	Vitvi13g00022
VIT_13s0067g00840	Vitvi13g00045
VIT_13s0067g00990	Vitvi13g00053
VIT_13s0067g01110	Vitvi13g00059
VIT_13s0067g01120	Vitvi13g00060
VIT_13s0067g02380	Vitvi13g00144
VIT_13s0067g02720	Vitvi13g04031
VIT_13s0067g02730	Vitvi13g00164
VIT_13s0067g02780	Vitvi13g04037
VIT_13s0067g02830	Vitvi13g04038
VIT_13s0067g02990	Vitvi13g00177
VIT_13s0067g03440	Vitvi13g00207
VIT_13s0019g00510	Vitvi13g04079
VIT_13s0019g00840	Vitvi13g01966
VIT_13s0019g01260	Vitvi13g00295
VIT_13s0019g02210	Vitvi13g00345
VIT_13s0019g02390	Vitvi13g00359
VIT_13s0019g02860	Vitvi13g00397
VIT_13s0019g02810	Vitvi13g00398
VIT_13s0019g03350	Vitvi13g00507
VIT_13s0019g03380	Vitvi13g00512
VIT_13s0019g04170	Vitvi13g00594
VIT_13s0019g04190	Vitvi13g00597
VIT_13s0019g04370	Vitvi13g00613
VIT_13s0019g04380	Vitvi13g02058
VIT_13s0019g04460	Vitvi13g00622
VIT_13s0019g04730	Vitvi13g00654
VIT_13s0019g05160	Vitvi13g00692
VIT_13s0074g00080	Vitvi13g02082
VIT_13s0074g00620	Vitvi13g00774
VIT_13s0106g00280	Vitvi13g00832
VIT_13s0106g00380	Vitvi13g00843
VIT_13s0106g00790	Vitvi13g00887
VIT_13s0147g00100	Vitvi13g00917
VIT_13s0073g00250	Vitvi13g01022
VIT_13s0073g00490	Vitvi13g01044
VIT_13s0067g01830	Vitvi13g01259
VIT_13s0067g01770	Vitvi13g01264
VIT_13s0067g01630	Vitvi13g01266
VIT_13s0084g00150	Vitvi13g01386
VIT_13s0084g00660	Vitvi13g01350
VIT_00s0591g00020	Vitvi13g04616
VIT_00s1715g00010	Vitvi13g04620
VIT_13s0019g01010	Vitvi13g01545
VIT_13s0158g00340	Vitvi13g01613
VIT_13s0064g00050	Vitvi13g01645
VIT_13s0064g00440	Vitvi13g01684
VIT_13s0064g00810	Vitvi13g01724
VIT_13s0064g00840	Vitvi13g01727
VIT_13s0064g00890	Vitvi13g01731
VIT_13s0064g00930	Vitvi13g01734
VIT_13s0064g00940	Vitvi13g01735
VIT_13s0156g00060	Vitvi13g01842
VIT_13s0156g00180	Vitvi13g01832
VIT_14s0060g00360	Vitvi14g00033
VIT_14s0060g00480	Vitvi14g02444
VIT_14s0060g01180	Vitvi14g00093
VIT_14s0060g01190	Vitvi14g02474
VIT_14s0060g01680	Vitvi14g00137
VIT_14s0060g02320	Vitvi14g00183
VIT_14s0060g02680	Vitvi14g02526
VIT_14s0128g00330	Vitvi14g00258
VIT_14s0128g00320	Vitvi14g00259
VIT_14s0128g00170	Vitvi14g00272
VIT_14s0128g00110	Vitvi14g00277
VIT_14s0030g00030	Vitvi14g00291
VIT_14s0030g00440	Vitvi14g00322
VIT_14s0030g00650	Vitvi14g00338
VIT_14s0030g00660	Vitvi14g00339
VIT_14s0030g00950	Vitvi14g04138
VIT_14s0030g01560	Vitvi14g00407
VIT_14s0030g01740	Vitvi14g00424
VIT_14s0030g01900	Vitvi14g00439
VIT_14s0030g02140	Vitvi14g00466
VIT_14s0030g02180	Vitvi14g00471
VIT_14s0081g00010	Vitvi14g00484
VIT_14s0081g00200	Vitvi14g02674
VIT_14s0081g00240	Vitvi14g00503
VIT_14s0081g00630	Vitvi14g00547
VIT_14s0036g00520	Vitvi14g00619
VIT_14s0006g00640	Vitvi14g00841
VIT_14s0006g01660	Vitvi14g00980
VIT_14s0006g01790	Vitvi14g00996
VIT_14s0006g01820	Vitvi14g00998
VIT_14s0006g01970	Vitvi14g01023
VIT_14s0006g02820	Vitvi14g01178
VIT_14s0006g02970	Vitvi14g01195
VIT_14s0006g03230	Vitvi14g01226
VIT_14s0083g00110	Vitvi14g01246
VIT_14s0083g00460	Vitvi14g01281
VIT_14s0083g00520	Vitvi14g01283
VIT_14s0083g00640	Vitvi14g01296
VIT_14s0083g01030	Vitvi14g01341
VIT_14s0083g01100	Vitvi14g01350
VIT_14s0068g00210	Vitvi14g02934
VIT_14s0068g00300	Vitvi14g01394
VIT_14s0068g00680	Vitvi14g01424
VIT_14s0068g00840	Vitvi14g01439
VIT_14s0068g00910	Vitvi14g01447
VIT_14s0068g01190	Vitvi14g01472
VIT_14s0068g01300	Vitvi14g01481
VIT_14s0068g01330	Vitvi14g01482
VIT_14s0068g01460	Vitvi14g01497
VIT_14s0068g01960	Vitvi14g01537
VIT_14s0068g02110	Vitvi14g01551
VIT_14s0171g00090	Vitvi14g02984
VIT_14s0171g00130	Vitvi14g01571
VIT_14s0171g00440	Vitvi14g01600
VIT_14s0219g00150	Vitvi14g01627
VIT_14s0219g00280	Vitvi14g01639
VIT_14s0066g00340	Vitvi14g01675
VIT_14s0066g00810	Vitvi14g01717
VIT_14s0066g00970	Vitvi14g01735
VIT_14s0066g01210	Vitvi14g01763
VIT_14s0066g01240	Vitvi14g01765
VIT_14s0066g01310	Vitvi14g01772
VIT_14s0066g01550	Vitvi14g01796
VIT_14s0066g02240	Vitvi14g01852
VIT_14s0066g02410	Vitvi14g01874
VIT_14s0108g00010	Vitvi14g01898
VIT_14s0108g00020	Vitvi14g01899
VIT_14s0108g00700	Vitvi14g01952
VIT_14s0108g00940	Vitvi14g01968
VIT_14s0108g01330	Vitvi14g02011
VIT_14s0108g01590	Vitvi14g03099
VIT_15s0107g00380	Vitvi15g00254
VIT_15s0045g00310	Vitvi15g00289
VIT_15s0021g00210	Vitvi15g00419
VIT_15s0021g00310	Vitvi15g00432
VIT_15s0021g00460	Vitvi15g00445
VIT_15s0021g00500	Vitvi15g00452
VIT_15s0021g02110	Vitvi15g00601
VIT_15s0021g02190	Vitvi15g00612
VIT_15s0021g02240	Vitvi15g00615
VIT_15s0021g02440	Vitvi15g04368
VIT_15s0048g00320	Vitvi15g00684
VIT_15s0048g00330	Vitvi15g01489
VIT_15s0048g00340	Vitvi15g00687
VIT_15s0048g00350	Vitvi15g01490
VIT_15s0048g00360	Vitvi15g01491
VIT_15s0048g00370	Vitvi15g00690
VIT_15s0048g00420	Vitvi15g00694
VIT_15s0048g00750	Vitvi15g00728
VIT_15s0048g01250	Vitvi15g00774
VIT_15s0048g02410	Vitvi15g00870
VIT_15s0048g02540	Vitvi15g00879
VIT_00s0322g00030	Vitvi15g04497
VIT_00s0494g00010	Vitvi15g04517
VIT_15s0046g00180	Vitvi15g00940
VIT_15s0046g00320	Vitvi15g00948
VIT_15s0046g01140	Vitvi15g01003
VIT_15s0046g01280	Vitvi15g01014
VIT_15s0046g02170	Vitvi15g01089
VIT_15s0046g02220	Vitvi15g01093
VIT_15s0046g02860	Vitvi15g01141
VIT_15s0046g03410	Vitvi15g01174
VIT_15s0046g03520	Vitvi15g01178
VIT_15s0046g03670	Vitvi15g01188
VIT_14s0060g00260	Vitvi15g04653
VIT_14s0060g00240	Vitvi15g04655
VIT_14s0060g00210	Vitvi15g04658
VIT_14s0060g00100	Vitvi15g04666
VIT_16s0039g01380	Vitvi16g01508
VIT_16s0039g01410	Vitvi16g01509
VIT_16s0039g01450	Vitvi16g00073
VIT_16s0039g01470	Vitvi16g00075
VIT_16s0039g01780	Vitvi16g00109
VIT_16s0039g02020	Vitvi16g00137
VIT_16s0039g02040	Vitvi16g00139
VIT_16s0039g02140	Vitvi16g00149
VIT_16s0039g02410	Vitvi16g00168
VIT_16s0013g00260	Vitvi16g00280
VIT_16s0013g01680	Vitvi16g00455
VIT_16s0013g01750	Vitvi16g00463
VIT_16s0013g01890	Vitvi16g01707
VIT_16s0022g00320	Vitvi16g00652
VIT_16s0022g00660	Vitvi16g00712
VIT_16s0022g00670	Vitvi16g00713
VIT_16s0022g01030	Vitvi16g00753
VIT_16s0022g01080	Vitvi16g04301
VIT_16s0022g01440	Vitvi16g00796
VIT_16s0022g01770	Vitvi16g00831
VIT_16s0022g02320	Vitvi16g00891
VIT_16s0100g00160	Vitvi16g00919
VIT_16s0100g00400	Vitvi16g00942
VIT_16s0100g00480	Vitvi16g00953
VIT_16s0100g00720	Vitvi16g00982
VIT_16s0050g00780	Vitvi16g01073
VIT_16s0050g02510	Vitvi16g01213
VIT_16s0050g02670	Vitvi16g01233
VIT_16s0098g00770	Vitvi16g02057
VIT_16s0098g00780	Vitvi16g02058
VIT_16s0098g00900	Vitvi16g01340
VIT_16s0098g01250	Vitvi16g01371
VIT_16s0098g01780	Vitvi16g01405
VIT_17s0000g00500	Vitvi17g00051
VIT_17s0000g00900	Vitvi17g00074
VIT_17s0000g01320	Vitvi17g00104
VIT_17s0000g01600	Vitvi17g00127
VIT_17s0000g01620	Vitvi17g00130
VIT_17s0000g01690	Vitvi17g00138
VIT_17s0000g01870	Vitvi17g00157
VIT_17s0000g01950	Vitvi17g00163
VIT_17s0000g01960	Vitvi17g00164
VIT_17s0000g02140	Vitvi17g00178
VIT_17s0000g02420	Vitvi17g00210
VIT_17s0000g02680	Vitvi17g00234
VIT_17s0000g02800	Vitvi17g00241
VIT_17s0000g02960	Vitvi17g00255
VIT_17s0000g03010	Vitvi17g00261
VIT_17s0000g03490	Vitvi17g01399
VIT_17s0000g03690	Vitvi17g00320
VIT_17s0000g04580	Vitvi17g00416
VIT_17s0000g04600	Vitvi17g00421
VIT_17s0000g04610	Vitvi17g00422
VIT_17s0000g04660	Vitvi17g00427
VIT_17s0000g04790	Vitvi17g00442
VIT_17s0000g04830	Vitvi17g00445
VIT_17s0000g04910	Vitvi17g00453
VIT_17s0000g05030	Vitvi17g01440
VIT_17s0000g05120	Vitvi17g00485
VIT_17s0000g05330	Vitvi17g00505
VIT_17s0000g05750	Vitvi17g00551
VIT_17s0000g05800	Vitvi17g00555
VIT_17s0000g06280	Vitvi17g00608
VIT_17s0000g06440	Vitvi17g00627
VIT_17s0000g06450	Vitvi17g00629
VIT_17s0000g06590	Vitvi17g00642
VIT_17s0000g06960	Vitvi17g00682
VIT_17s0000g07200	Vitvi17g00700
VIT_17s0000g07370	Vitvi17g01513
VIT_17s0000g07400	Vitvi17g04216
VIT_17s0000g07420	Vitvi17g01520
VIT_17s0000g07560	Vitvi17g01523
VIT_17s0000g07650	Vitvi17g01525
VIT_17s0000g07660	Vitvi17g04221
VIT_17s0000g08070	Vitvi17g00786
VIT_17s0000g08390	Vitvi17g00816
VIT_17s0000g08450	Vitvi17g00819
VIT_17s0000g08460	Vitvi17g00820
VIT_17s0000g08520	Vitvi17g00826
VIT_17s0000g08660	Vitvi17g00843
VIT_17s0000g08960	Vitvi17g00885
VIT_17s0000g08990	Vitvi17g00889
VIT_17s0000g09070	Vitvi17g00894
VIT_17s0000g09490	Vitvi17g00938
VIT_17s0000g09840	Vitvi17g00983
VIT_17s0000g10050	Vitvi17g01011
VIT_17s0000g10430	Vitvi17g01598
VIT_17s0000g00920	Vitvi17g01086
VIT_17s0053g00120	Vitvi17g01162
VIT_17s0053g00700	Vitvi17g01221
VIT_18s0122g00590	Vitvi18g00042
VIT_18s0122g00610	Vitvi18g00043
VIT_18s0122g00960	Vitvi18g00068
VIT_18s0001g00060	Vitvi18g00111
VIT_18s0001g00180	Vitvi18g00120
VIT_18s0001g00770	Vitvi18g00159
VIT_18s0001g00810	Vitvi18g00163
VIT_18s0001g01640	Vitvi18g00215
VIT_18s0001g01810	Vitvi18g00224
VIT_18s0001g02090	Vitvi18g00240
VIT_18s0001g02120	Vitvi18g00241
VIT_18s0001g02140	Vitvi18g00242
VIT_18s0001g02370	Vitvi18g00252
VIT_18s0001g02550	Vitvi18g00261
VIT_18s0001g02570	Vitvi18g00262
VIT_18s0001g02610	Vitvi18g00263
VIT_18s0001g02810	Vitvi18g00275
VIT_18s0001g03910	Vitvi18g00326
VIT_18s0001g04140	Vitvi18g00334
VIT_18s0001g04180	Vitvi18g00337
VIT_18s0001g04340	Vitvi18g00341
VIT_18s0001g04630	Vitvi18g00353
VIT_18s0001g04860	Vitvi18g00362
VIT_18s0001g05680	Vitvi18g00407
VIT_18s0001g05720	Vitvi18g00409
VIT_18s0001g06650	Vitvi18g00463
VIT_18s0001g07100	Vitvi18g00490
VIT_18s0001g07120	Vitvi18g00491
VIT_18s0001g07220	Vitvi18g00499
VIT_18s0001g07280	Vitvi18g00504
VIT_18s0001g07400	Vitvi18g00512
VIT_18s0001g08150	Vitvi18g00577
VIT_18s0001g08260	Vitvi18g00591
VIT_18s0001g08380	Vitvi18g00602
VIT_18s0001g08520	Vitvi18g00609
VIT_18s0001g08650	Vitvi18g00623
VIT_18s0001g09140	Vitvi18g00667
VIT_18s0001g09910	Vitvi18g00730
VIT_18s0001g09920	Vitvi18g00731
VIT_18s0001g09990	Vitvi18g00740
VIT_18s0001g10150	Vitvi18g04174
VIT_18s0001g10380	Vitvi18g00777
VIT_18s0001g10580	Vitvi18g02681
VIT_18s0001g10720	Vitvi18g00808
VIT_18s0001g10740	Vitvi18g00810
VIT_18s0001g11090	Vitvi18g00835
VIT_18s0001g11910	Vitvi18g00915
VIT_18s0001g12020	Vitvi18g00924
VIT_18s0001g12370	Vitvi18g00953
VIT_18s0001g12780	Vitvi18g00986
VIT_18s0001g12840	Vitvi18g02758
VIT_18s0001g12940	Vitvi18g00996
VIT_18s0001g13360	Vitvi18g01034
VIT_18s0001g13420	Vitvi18g01041
VIT_18s0001g13520	Vitvi18g01048
VIT_18s0001g13930	Vitvi18g01086
VIT_18s0001g14010	Vitvi18g01095
VIT_18s0001g14230	Vitvi18g01114
VIT_18s0001g14670	Vitvi18g01149
VIT_18s0001g14980	Vitvi18g01174
VIT_18s0001g15410	Vitvi18g01223
VIT_18s0166g00300	Vitvi18g01292
VIT_18s0076g00360	Vitvi18g01299
VIT_18s0001g00260	Vitvi18g01452
VIT_18s0001g00940	Vitvi18g01587
VIT_18s0001g01730	Vitvi18g01517
VIT_18s0001g01870	Vitvi18g01522
VIT_18s0157g00190	Vitvi18g01572
VIT_18s0072g00940	Vitvi18g01670
VIT_18s0072g01040	Vitvi18g01682
VIT_18s0041g02410	Vitvi18g02167
VIT_18s0041g02430	Vitvi18g02171
VIT_18s0001g03660	Vitvi18g02321
VIT_18s0089g00910	Vitvi18g02390
VIT_19s0014g00070	Vitvi19g00005
VIT_19s0014g00080	Vitvi19g00007
VIT_19s0014g00870	Vitvi19g00061
VIT_19s0014g00980	Vitvi19g00073
VIT_19s0014g01640	Vitvi19g00138
VIT_19s0014g01800	Vitvi19g00150
VIT_19s0014g02190	Vitvi19g00186
VIT_19s0014g02310	Vitvi19g00197
VIT_19s0014g02350	Vitvi19g00200
VIT_19s0014g02700	Vitvi19g00224
VIT_19s0014g02840	Vitvi19g00234
VIT_19s0177g00020	Vitvi19g00431
VIT_19s0177g00030	Vitvi19g00432
VIT_19s0177g00310	Vitvi19g00458
VIT_19s0090g00750	Vitvi19g00521
VIT_19s0090g00920	Vitvi19g00538
VIT_19s0090g01030	Vitvi19g00552
VIT_19s0090g01220	Vitvi19g00570
VIT_19s0090g01290	Vitvi19g00577
VIT_19s0015g00130	Vitvi19g00654
VIT_19s0015g01010	Vitvi19g00729
VIT_19s0015g01720	Vitvi19g00904
VIT_19s0135g00060	Vitvi19g01394
VIT_19s0135g00030	Vitvi19g01400
VIT_19s0176g00150	Vitvi19g04438
VIT_19s0093g00550	Vitvi19g01356
VIT_19s0093g00510	Vitvi19g01352
VIT_19s0027g01520	Vitvi19g01624
VIT_19s0027g01790	Vitvi19g01655
VIT_19s0085g00260	Vitvi19g01681
VIT_19s0085g00370	Vitvi19g01690
VIT_19s0085g00380	Vitvi19g01692
VIT_19s0085g00600	Vitvi19g01710
VIT_19s0085g00720	Vitvi19g01724
VIT_19s0085g00820	Vitvi19g01733
VIT_19s0085g00830	Vitvi19g01734
VIT_19s0085g00880	Vitvi19g01741
VIT_02s0234g00080	Vitvi02g01774
VIT_00s0341g00040	Vitvi02g01733
VIT_00s0598g00030	Vitvi00g04451
VIT_13s0064g01480	Vitvi00g04467
VIT_04s0210g00070	Vitvi00g04635
VIT_04s0210g00080	Vitvi00g04636
VIT_00s0575g00010	Vitvi00g04683
VIT_00s0575g00020	Vitvi00g04684
VIT_00s2526g00010	Vitvi00g04866
