SORBI_3001G000100	Sobic.001G000100	Sb01g000200	-
SORBI_3002G394700	Sobic.002G394700	Sb02g041000	-
SORBI_3002G395000	Sobic.002G395000	Sb02g041030	-
SORBI_3002G395600	Sobic.002G395600	Sb02g041070	-
SORBI_3002G395900	Sobic.002G395900	Sb02g041100	-
SORBI_3002G396000	Sobic.002G396000	Sb02g041110	-
SORBI_3002G396300	Sobic.002G396300	Sb02g041140	-
SORBI_3002G396500	Sobic.002G396500	Sb02g041160	-
SORBI_3002G396600	Sobic.002G396600	Sb02g041170	-
SORBI_3002G397200	Sobic.002G397200	Sb02g041220	-
SORBI_3002G397900	Sobic.002G397900	Sb02g041260	-
SORBI_3002G398300	Sobic.002G398300	Sb02g041300	-
SORBI_3002G398400	Sobic.002G398400	Sb02g041310	-
SORBI_3002G398600	Sobic.002G398600	Sb02g041330	-
SORBI_3002G399100	Sobic.002G399100	Sb02g041380	-
SORBI_3002G399900	Sobic.002G399900	Sb02g041460	-
SORBI_3002G401500	Sobic.002G401500	Sb02g041640	-
SORBI_3002G401900	Sobic.002G401900	Sb02g041680	-
SORBI_3002G402100	Sobic.002G402100	Sb02g041700	-
SORBI_3002G402233	Sobic.002G402233	Sb02g041710	-
SORBI_3002G404100	Sobic.002G404100	Sb02g041850	-
SORBI_3002G404200	Sobic.002G404200	Sb02g041860	-
SORBI_3002G404300	Sobic.002G404300	Sb02g041870	-
SORBI_3002G404400	Sobic.002G404400	Sb02g041880	-
SORBI_3002G404500	Sobic.002G404500	Sb02g041890	-
SORBI_3002G404900	Sobic.002G404900	Sb02g041930	-
SORBI_3002G405400	Sobic.002G405400	Sb02g041960	-
SORBI_3002G406200	Sobic.002G406200	Sb02g042020	-
SORBI_3002G406900	Sobic.002G406900	Sb02g042090	-
SORBI_3002G408000	Sobic.002G408000	Sb02g042180	-
SORBI_3002G408400	Sobic.002G408400	Sb02g042220	-
SORBI_3002G408600	Sobic.002G408600	Sb02g042240	-
SORBI_3002G408700	Sobic.002G408700	Sb02g042250	-
SORBI_3002G409600	Sobic.002G409600	Sb02g042320	-
SORBI_3002G410050	Sobic.002G410050	Sb02g042353	-
SORBI_3002G411600	Sobic.002G411600	Sb02g042440	-
SORBI_3002G412400	Sobic.002G412400	Sb02g042510	-
SORBI_3002G413100	Sobic.002G413100	Sb02g042570	-
SORBI_3002G413200	Sobic.002G413200	Sb02g042580	-
SORBI_3002G413300	Sobic.002G413300	Sb02g042590	-
SORBI_3002G413600	Sobic.002G413600	Sb02g042620	-
SORBI_3002G414400	Sobic.002G414400	Sb02g042680	-
SORBI_3002G415000	Sobic.002G415000	Sb02g042730	-
SORBI_3002G415100	Sobic.002G415100	Sb02g042740	-
SORBI_3002G416100	Sobic.002G416100	Sb02g042790	-
SORBI_3002G416300	Sobic.002G416300	Sb02g042800	-
SORBI_3002G416900	Sobic.002G416900	Sb02g042880	-
SORBI_3002G417000	Sobic.002G417000	Sb02g042900	-
SORBI_3002G417300	Sobic.002G417300	Sb02g042920	-
SORBI_3002G417600	Sobic.002G417600	Sb02g042940	-
SORBI_3002G418900	Sobic.002G418900	Sb02g043060	-
SORBI_3002G419200	Sobic.002G419200	Sb02g043090	-
SORBI_3002G419350	Sobic.002G419350	Sb02g043100	-
SORBI_3002G419500	Sobic.002G419500	Sb02g043120	-
SORBI_3002G419700	Sobic.002G419700	Sb02g043140	-
SORBI_3002G420100	Sobic.002G420100	Sb02g043170	-
SORBI_3002G420600	Sobic.002G420600	Sb02g043200	-
SORBI_3002G421600	Sobic.002G421600	Sb02g043280	-
SORBI_3002G422400	Sobic.002G422400	Sb02g043360	-
SORBI_3002G423500	Sobic.002G423500	Sb02g043440	-
SORBI_3002G424350	Sobic.002G424350	Sb02g043510	-
SORBI_3002G424900	Sobic.002G424900	Sb02g043560	-
SORBI_3002G425300	Sobic.002G425300	Sb02g043600	-
SORBI_3002G426600	Sobic.002G426600	Sb02g043700	-
SORBI_3002G426900	Sobic.002G426900	Sb02g043740	-
SORBI_3002G427500	Sobic.002G427500	Sb02g043780	-
SORBI_3002G427600	Sobic.002G427600	Sb02g043790	-
SORBI_3002G427700	Sobic.002G427700	Sb02g043800	-
SORBI_3002G428400	Sobic.002G428400	Sb02g043850	-
SORBI_3002G428600	Sobic.002G428600	Sb02g043860	-
SORBI_3002G428700	Sobic.002G428700	Sb02g043870	-
SORBI_3002G428800	Sobic.002G428800	Sb02g043880	-
SORBI_3002G428900	Sobic.002G428900	Sb02g043890	-
SORBI_3002G429900	Sobic.002G429900	Sb02g043960	-
SORBI_3002G431000	Sobic.002G431000	Sb02g044050	-
SORBI_3003G001100	Sobic.003G001100	Sb03g000280	-
SORBI_3003G001400	Sobic.003G001400	Sb03g000310	-
SORBI_3003G001500	Sobic.003G001500	Sb03g000320	-
SORBI_3003G002400	Sobic.003G002400	Sb03g000380	-
SORBI_3003G002800	Sobic.003G002800	Sb03g000420	-
SORBI_3003G002900	Sobic.003G002900	Sb03g000430	-
SORBI_3003G003000	Sobic.003G003000	Sb03g000440	-
SORBI_3003G003300	Sobic.003G003300	Sb03g000460	-
SORBI_3003G004100	Sobic.003G004100	Sb03g000540	-
SORBI_3003G004300	Sobic.003G004300	Sb03g000560	-
SORBI_3003G005000	Sobic.003G005000	Sb03g000620	-
SORBI_3003G005200	Sobic.003G005200	Sb03g000640	-
SORBI_3003G005400	Sobic.003G005400	Sb03g000660	-
SORBI_3003G006500	Sobic.003G006500	Sb03g000760	-
SORBI_3003G006800	Sobic.003G006800	Sb03g000780	-
SORBI_3003G007400	Sobic.003G007400	Sb03g000810	-
SORBI_3003G007500	Sobic.003G007500	Sb03g000820	-
SORBI_3003G007600	Sobic.003G007600	Sb03g000830	-
SORBI_3003G008200	Sobic.003G008200	Sb03g000880	-
SORBI_3003G008300	Sobic.003G008300	Sb03g000890	-
SORBI_3003G008600	Sobic.003G008600	Sb03g000920	-
SORBI_3003G009200	Sobic.003G009200	Sb03g000980	-
SORBI_3003G009300	Sobic.003G009300	Sb03g000990	-
SORBI_3003G009600	Sobic.003G009600	Sb03g001020	-
SORBI_3003G009900	Sobic.003G009900	Sb03g001040	-
SORBI_3003G010200	Sobic.003G010200	Sb03g001070	-
SORBI_3003G010300	Sobic.003G010300	Sb03g001080	-
SORBI_3003G010700	Sobic.003G010700	Sb03g001110	-
SORBI_3003G011100	Sobic.003G011100	Sb03g001140	-
SORBI_3003G011600	Sobic.003G011600	Sb03g001180	-
SORBI_3003G011700	Sobic.003G011700	Sb03g001190	-
SORBI_3003G011800	Sobic.003G011800	Sb03g001200	-
SORBI_3003G011900	Sobic.003G011900	Sb03g001210	-
SORBI_3003G012000	Sobic.003G012000	Sb03g001220	-
SORBI_3003G012100	Sobic.003G012100	Sb03g001230	-
SORBI_3003G012200	Sobic.003G012200	Sb03g001240	-
SORBI_3003G012400	Sobic.003G012400	Sb03g001260	-
SORBI_3003G012500	Sobic.003G012500	Sb03g001270	-
SORBI_3003G013100	Sobic.003G013100	Sb03g001320	-
SORBI_3003G013600	Sobic.003G013600	Sb03g001350	-
SORBI_3003G013800	Sobic.003G013800	Sb03g001370	-
SORBI_3003G014200	Sobic.003G014200	Sb03g001410	-
SORBI_3003G014400	Sobic.003G014400	Sb03g001430	-
SORBI_3003G014900	Sobic.003G014900	Sb03g001480	-
SORBI_3003G015000	Sobic.003G015000	Sb03g001490	-
SORBI_3003G015100	Sobic.003G015100	Sb03g001500	-
SORBI_3003G015900	Sobic.003G015900	Sb03g001570	-
SORBI_3003G016500	Sobic.003G016500	Sb03g001640	-
SORBI_3003G016800	Sobic.003G016800	Sb03g001670	-
SORBI_3003G016900	Sobic.003G016900	Sb03g001680	-
SORBI_3003G017900	Sobic.003G017900	Sb03g002000	-
SORBI_3003G018800	Sobic.003G018800	Sb03g001930	-
SORBI_3003G018900	Sobic.003G018900	Sb03g001920	-
SORBI_3003G019200	Sobic.003G019200	Sb03g001890	-
SORBI_3003G019300	Sobic.003G019300	Sb03g001880	-
SORBI_3003G019800	Sobic.003G019800	Sb03g001860	-
SORBI_3003G020200	Sobic.003G020200	Sb03g001840	-
SORBI_3003G020300	Sobic.003G020300	Sb03g001830	-
SORBI_3003G020400	Sobic.003G020400	Sb03g001820	-
SORBI_3003G020500	Sobic.003G020500	Sb03g001810	-
SORBI_3003G021000	Sobic.003G021000	Sb03g001790	-
SORBI_3003G021700	Sobic.003G021700	Sb03g002040	-
SORBI_3003G022200	Sobic.003G022200	Sb03g002080	-
SORBI_3003G022300	Sobic.003G022300	Sb03g002090	-
SORBI_3003G022400	Sobic.003G022400	Sb03g002100	-
SORBI_3003G022600	Sobic.003G022600	Sb03g002130	-
SORBI_3003G022900	Sobic.003G022900	Sb03g002170	-
SORBI_3003G023300	Sobic.003G023300	Sb03g002210	-
SORBI_3003G023600	Sobic.003G023600	Sb03g002240	-
SORBI_3003G023800	Sobic.003G023800	Sb03g002270	-
SORBI_3003G024000	Sobic.003G024000	Sb03g002300	-
SORBI_3003G024400	Sobic.003G024400	Sb03g002340	-
SORBI_3003G024500	Sobic.003G024500	Sb03g002350	-
SORBI_3003G024600	Sobic.003G024600	Sb03g002360	-
SORBI_3003G024800	Sobic.003G024800	Sb03g002380	-
SORBI_3003G025500	Sobic.003G025500	Sb03g002440	-
SORBI_3003G026200	Sobic.003G026200	Sb03g002470	-
SORBI_3003G026900	Sobic.003G026900	Sb03g002520	-
SORBI_3003G027200	Sobic.003G027200	Sb03g002550	-
SORBI_3003G027300	Sobic.003G027300	Sb03g002560	-
SORBI_3003G027500	Sobic.003G027500	Sb03g002580	-
SORBI_3003G028400	Sobic.003G028400	Sb03g002670	-
SORBI_3003G028500	Sobic.003G028500	Sb03g002680	-
SORBI_3003G029100	Sobic.003G029100	Sb03g002730	-
SORBI_3003G029300	Sobic.003G029300	Sb03g002750	-
SORBI_3003G029400	Sobic.003G029400	Sb03g002760	-
SORBI_3003G029500	Sobic.003G029500	Sb03g002770	-
SORBI_3003G029800	Sobic.003G029800	Sb03g002800	-
SORBI_3003G030000	Sobic.003G030000	Sb03g002820	-
SORBI_3003G030300	Sobic.003G030300	Sb03g002840	-
SORBI_3003G030800	Sobic.003G030800	Sb03g002890	-
SORBI_3003G030900	Sobic.003G030900	Sb03g002900	-
SORBI_3003G031400	Sobic.003G031400	Sb03g002930	-
SORBI_3003G031600	Sobic.003G031600	Sb03g002940	-
SORBI_3003G031800	Sobic.003G031800	Sb03g002960	-
SORBI_3003G032200	Sobic.003G032200	Sb03g002990	-
SORBI_3003G033100	Sobic.003G033100	Sb03g003010	-
SORBI_3003G033300	Sobic.003G033300	Sb03g003030	-
SORBI_3003G033500	Sobic.003G033500	Sb03g003050	-
SORBI_3003G034000	Sobic.003G034000	Sb03g003080	-
SORBI_3003G034700	Sobic.003G034700	Sb03g003140	-
SORBI_3003G035400	Sobic.003G035400	Sb03g003180	-
SORBI_3003G036300	Sobic.003G036300	Sb03g003240	-
SORBI_3003G036500	Sobic.003G036500	Sb03g003260	-
SORBI_3003G036600	Sobic.003G036600	Sb03g003270	-
SORBI_3003G036800	Sobic.003G036800	Sb03g003290	-
SORBI_3003G036900	Sobic.003G036900	Sb03g003300	-
SORBI_3003G037700	Sobic.003G037700	Sb03g003380	-
SORBI_3003G037900	Sobic.003G037900	Sb03g003400	-
SORBI_3003G038400	Sobic.003G038400	Sb03g003440	-
SORBI_3003G038600	Sobic.003G038600	Sb03g003460	-
SORBI_3003G038700	Sobic.003G038700	Sb03g003470	-
SORBI_3003G039100	Sobic.003G039100	Sb03g003500	-
SORBI_3003G039500	Sobic.003G039500	Sb03g003540	-
SORBI_3003G039700	Sobic.003G039700	Sb03g003550	-
SORBI_3003G040000	Sobic.003G040000	Sb03g003570	-
SORBI_3003G040100	Sobic.003G040100	Sb03g003580	-
SORBI_3003G040300	Sobic.003G040300	Sb03g003590	-
SORBI_3003G040700	Sobic.003G040700	Sb03g003630	-
SORBI_3003G041300	Sobic.003G041300	Sb03g003680	-
SORBI_3003G041500	Sobic.003G041500	Sb03g003690	-
SORBI_3003G042700	Sobic.003G042700	Sb03g003750	-
SORBI_3003G042900	Sobic.003G042900	Sb03g003760	-
SORBI_3003G043300	Sobic.003G043300	Sb03g003810	-
SORBI_3003G043400	Sobic.003G043400	Sb03g003820	-
SORBI_3003G043700	Sobic.003G043700	Sb03g003840	-
SORBI_3003G044100	Sobic.003G044100	Sb03g003870	-
SORBI_3003G044800	Sobic.003G044800	Sb03g003930	-
SORBI_3003G045000	Sobic.003G045000	Sb03g003950	-
SORBI_3003G045300	Sobic.003G045300	Sb03g003980	-
SORBI_3003G045400	Sobic.003G045400	Sb03g003990	-
SORBI_3003G045600	Sobic.003G045600	Sb03g004000	-
SORBI_3003G046700	Sobic.003G046700	Sb03g004080	-
SORBI_3003G046800	Sobic.003G046800	Sb03g004090	-
SORBI_3003G047200	Sobic.003G047200	Sb03g004110	-
SORBI_3003G047700	Sobic.003G047700	Sb03g004150	-
SORBI_3003G047800	Sobic.003G047800	Sb03g004160	-
SORBI_3003G048200	Sobic.003G048200	Sb03g004210	-
SORBI_3003G049000	Sobic.003G049000	Sb03g004260	-
SORBI_3003G049300	Sobic.003G049300	Sb03g004280	-
SORBI_3003G049700	Sobic.003G049700	Sb03g004330	-
SORBI_3003G050000	Sobic.003G050000	Sb03g004350	-
SORBI_3003G050200	Sobic.003G050200	Sb03g004370	-
SORBI_3003G050600	Sobic.003G050600	Sb03g004410	-
SORBI_3003G050900	Sobic.003G050900	Sb03g004440	-
SORBI_3003G051500	Sobic.003G051500	Sb03g004480	-
SORBI_3003G053700	Sobic.003G053700	Sb03g004640	-
SORBI_3003G054500	Sobic.003G054500	Sb03g004690	-
SORBI_3003G054800	Sobic.003G054800	Sb03g004700	-
SORBI_3003G055400	Sobic.003G055400	Sb03g004740	-
SORBI_3003G056400	Sobic.003G056400	Sb03g004820	-
SORBI_3003G056500	Sobic.003G056500	Sb03g004830	-
SORBI_3003G057600	Sobic.003G057600	Sb03g004900	-
SORBI_3003G058001	Sobic.003G058001	Sb03g004950	-
SORBI_3003G058300	Sobic.003G058300	Sb03g004970	-
SORBI_3003G058500	Sobic.003G058500	Sb03g005010	-
SORBI_3003G060000	Sobic.003G060000	Sb03g005150	-
SORBI_3003G060100	Sobic.003G060100	Sb03g005160	-
SORBI_3003G060400	Sobic.003G060400	Sb03g005180	-
SORBI_3003G061000	Sobic.003G061000	Sb03g005220	-
SORBI_3003G062400	Sobic.003G062400	Sb03g005320	-
SORBI_3003G063500	Sobic.003G063500	Sb03g005420	-
SORBI_3003G063600	Sobic.003G063600	Sb03g005430	-
SORBI_3003G064100	Sobic.003G064100	Sb03g005450	-
SORBI_3003G064500	Sobic.003G064500	Sb03g005510	-
SORBI_3003G064700	Sobic.003G064700	Sb03g005520	-
SORBI_3003G064800	Sobic.003G064800	Sb03g005530	-
SORBI_3003G065100	Sobic.003G065100	Sb03g005555	-
SORBI_3003G065300	Sobic.003G065300	Sb03g005560	-
SORBI_3003G065400	Sobic.003G065400	Sb03g005570	-
SORBI_3003G065700	Sobic.003G065700	Sb03g005600	-
SORBI_3003G065800	Sobic.003G065800	Sb03g005610	-
SORBI_3003G066600	Sobic.003G066600	Sb03g005680	-
SORBI_3003G066900	Sobic.003G066900	Sb03g005690	-
SORBI_3003G067100	Sobic.003G067100	Sb03g005710	-
SORBI_3003G067600	Sobic.003G067600	Sb03g005740	-
SORBI_3003G067700	Sobic.003G067700	Sb03g005750	-
SORBI_3003G068000	Sobic.003G068000	Sb03g005770	-
SORBI_3003G068300	Sobic.003G068300	Sb03g005810	-
SORBI_3003G068600	Sobic.003G068600	Sb03g005840	-
SORBI_3003G068800	Sobic.003G068800	Sb03g005860	-
SORBI_3003G069750	Sobic.003G069750	Sb03g005905	-
SORBI_3003G069875	Sobic.003G069875	Sb03g005910	-
SORBI_3003G070025	Sobic.003G070025	Sb03g005930	-
SORBI_3003G070300	Sobic.003G070300	Sb03g005950	-
SORBI_3003G070500	Sobic.003G070500	Sb03g005970	-
SORBI_3003G070900	Sobic.003G070900	Sb03g006010	-
SORBI_3003G071000	Sobic.003G071000	Sb03g006020	-
SORBI_3003G072500	Sobic.003G072500	Sb03g006150	-
SORBI_3003G073133	Sobic.003G073133	Sb03g006200	-
SORBI_3003G074200	Sobic.003G074200	Sb03g006260	-
SORBI_3003G074300	Sobic.003G074300	Sb03g006270	-
SORBI_3003G074400	Sobic.003G074400	Sb03g006280	-
SORBI_3003G075000	Sobic.003G075000	Sb03g006330	-
SORBI_3003G075100	Sobic.003G075100	Sb03g006340	-
SORBI_3003G075200	Sobic.003G075200	Sb03g006350	-
SORBI_3003G076200	Sobic.003G076200	Sb03g006420	-
SORBI_3003G076400	Sobic.003G076400	Sb03g006430	-
SORBI_3003G076900	Sobic.003G076900	Sb03g006480	-
SORBI_3003G077300	Sobic.003G077300	Sb03g006520	-
SORBI_3003G078100	Sobic.003G078100	Sb03g006590	-
SORBI_3003G078200	Sobic.003G078200	Sb03g006610	-
SORBI_3003G078900	Sobic.003G078900	Sb03g006660	-
SORBI_3003G081200	Sobic.003G081200	Sb03g006810	-
SORBI_3003G081300	Sobic.003G081300	Sb03g006820	-
SORBI_3003G081800	Sobic.003G081800	Sb03g006860	-
SORBI_3003G082300	Sobic.003G082300	Sb03g006910	-
SORBI_3003G082500	Sobic.003G082500	Sb03g006920	-
SORBI_3003G082800	Sobic.003G082800	Sb03g006960	-
SORBI_3003G082900	Sobic.003G082900	Sb03g006970	-
SORBI_3003G083000	Sobic.003G083000	Sb03g006980	-
SORBI_3003G083300	Sobic.003G083300	Sb03g007010	-
SORBI_3003G083400	Sobic.003G083400	Sb03g007020	-
SORBI_3003G083600	Sobic.003G083600	Sb03g007040	-
SORBI_3003G083800	Sobic.003G083800	Sb03g007060	-
SORBI_3003G084100	Sobic.003G084100	Sb03g007090	-
SORBI_3003G084200	Sobic.003G084200	Sb03g007100	-
SORBI_3003G084400	Sobic.003G084400	Sb03g007120	-
SORBI_3003G085000	Sobic.003G085000	Sb03g007140	-
SORBI_3003G085400	Sobic.003G085400	Sb03g007180	-
SORBI_3003G085600	Sobic.003G085600	Sb03g007200	-
SORBI_3003G086500	Sobic.003G086500	Sb03g007260	-
SORBI_3003G086600	Sobic.003G086600	Sb03g007270	-
SORBI_3003G088200	Sobic.003G088200	Sb03g007400	-
SORBI_3003G088400	Sobic.003G088400	Sb03g007420	-
SORBI_3003G088900	Sobic.003G088900	Sb03g007480	-
SORBI_3003G089100	Sobic.003G089100	Sb03g007500	-
SORBI_3003G089400	Sobic.003G089400	Sb03g007530	-
SORBI_3003G089500	Sobic.003G089500	Sb03g007540	-
SORBI_3003G089600	Sobic.003G089600	Sb03g007550	-
SORBI_3003G090400	Sobic.003G090400	Sb03g007560	-
SORBI_3003G090700	Sobic.003G090700	Sb03g007588	-
SORBI_3003G090800	Sobic.003G090800	Sb03g007600	-
SORBI_3003G091500	Sobic.003G091500	Sb03g007650	-
SORBI_3003G091800	Sobic.003G091800	Sb03g007680	-
SORBI_3003G092000	Sobic.003G092000	Sb03g007690	-
SORBI_3003G092300	Sobic.003G092300	Sb03g007710	-
SORBI_3003G092400	Sobic.003G092400	Sb03g007720	-
SORBI_3003G092700	Sobic.003G092700	Sb03g007750	-
SORBI_3003G092900	Sobic.003G092900	Sb03g007770	-
SORBI_3003G093000	Sobic.003G093000	Sb03g007780	-
SORBI_3003G093900	Sobic.003G093900	Sb03g007850	-
SORBI_3003G094000	Sobic.003G094000	Sb03g007860	-
SORBI_3003G094200	Sobic.003G094200	Sb03g007880	-
SORBI_3003G094350	Sobic.003G094350	Sb03g007890	-
SORBI_3003G094800	Sobic.003G094800	Sb03g007930	-
SORBI_3003G096100	Sobic.003G096100	Sb03g008060	-
SORBI_3003G098000	Sobic.003G098000	Sb03g008200	-
SORBI_3003G098300	Sobic.003G098300	Sb03g008230	-
SORBI_3003G098500	Sobic.003G098500	Sb03g008240	-
SORBI_3003G098700	Sobic.003G098700	Sb03g008260	-
SORBI_3003G098800	Sobic.003G098800	Sb03g008270	-
SORBI_3003G098900	Sobic.003G098900	Sb03g008280	-
SORBI_3003G100000	Sobic.003G100000	Sb03g008350	-
SORBI_3003G100200	Sobic.003G100200	Sb03g008360	-
SORBI_3003G101400	Sobic.003G101400	Sb03g008490	-
SORBI_3003G102400	Sobic.003G102400	Sb03g008580	-
SORBI_3003G102700	Sobic.003G102700	Sb03g008610	-
SORBI_3003G103000	Sobic.003G103000	Sb03g008630	-
SORBI_3003G104000	Sobic.003G104000	Sb03g008700	-
SORBI_3003G104100	Sobic.003G104100	Sb03g008710	-
SORBI_3003G104200	Sobic.003G104200	Sb03g008720	-
SORBI_3003G105700	Sobic.003G105700	Sb03g008870	-
SORBI_3003G107200	Sobic.003G107200	Sb03g009000	-
SORBI_3003G107500	Sobic.003G107500	Sb03g009030	-
SORBI_3003G107700	Sobic.003G107700	Sb03g009050	-
SORBI_3003G108000	Sobic.003G108000	Sb03g009080	-
SORBI_3003G108200	Sobic.003G108200	Sb03g009100	-
SORBI_3003G108500	Sobic.003G108500	Sb03g009110	-
SORBI_3003G108600	Sobic.003G108600	Sb03g009120	-
SORBI_3003G109700	Sobic.003G109700	Sb03g009220	-
SORBI_3003G111100	Sobic.003G111100	Sb03g009350	-
SORBI_3003G111600	Sobic.003G111600	Sb03g009390	-
SORBI_3003G112300	Sobic.003G112300	Sb03g009440	-
SORBI_3003G112400	Sobic.003G112400	Sb03g009450	-
SORBI_3003G112500	Sobic.003G112500	Sb03g009460	-
SORBI_3003G112700	Sobic.003G112700	Sb03g009480	-
SORBI_3003G113400	Sobic.003G113400	Sb03g009550	-
SORBI_3003G113700	Sobic.003G113700	Sb03g009570	-
SORBI_3003G114200	Sobic.003G114200	Sb03g009610	-
SORBI_3003G114600	Sobic.003G114600	Sb03g009660	-
SORBI_3003G116000	Sobic.003G116000	Sb03g009780	-
SORBI_3003G116100	Sobic.003G116100	Sb03g009790	-
SORBI_3003G117500	Sobic.003G117500	Sb03g009900	-
SORBI_3003G117900	Sobic.003G117900	Sb03g009940	-
SORBI_3003G118100	Sobic.003G118100	Sb03g009950	-
SORBI_3003G118200	Sobic.003G118200	Sb03g009960	-
SORBI_3003G118400	Sobic.003G118400	Sb03g009990	-
SORBI_3003G118500	Sobic.003G118500	Sb03g010000	-
SORBI_3003G119000	Sobic.003G119000	Sb03g010040	-
SORBI_3003G119332	Sobic.003G119332	Sb03g010070	-
SORBI_3003G119500	Sobic.003G119500	Sb03g010100	-
SORBI_3003G120300	Sobic.003G120300	Sb03g010160	-
SORBI_3003G120700	Sobic.003G120700	Sb03g010200	-
SORBI_3003G120900	Sobic.003G120900	Sb03g010230	-
SORBI_3003G121500	Sobic.003G121500	Sb03g010290	-
SORBI_3003G122400	Sobic.003G122400	Sb03g010370	-
SORBI_3003G122500	Sobic.003G122500	Sb03g010380	-
SORBI_3003G122800	Sobic.003G122800	Sb03g010400	-
SORBI_3003G123000	Sobic.003G123000	Sb03g010420	-
SORBI_3003G125100	Sobic.003G125100	Sb03g010580	-
SORBI_3003G125400	Sobic.003G125400	Sb03g010600	-
SORBI_3003G127200	Sobic.003G127200	Sb03g010760	-
SORBI_3003G127300	Sobic.003G127300	Sb03g010770	-
SORBI_3003G127400	Sobic.003G127400	Sb03g010780	-
SORBI_3003G127500	Sobic.003G127500	Sb03g010790	-
SORBI_3003G127900	Sobic.003G127900	Sb03g010830	-
SORBI_3003G129500	Sobic.003G129500	Sb03g011020	-
SORBI_3003G129900	Sobic.003G129900	Sb03g011050	-
SORBI_3003G130200	Sobic.003G130200	Sb03g011080	-
SORBI_3003G130400	Sobic.003G130400	Sb03g011090	-
SORBI_3003G130600	Sobic.003G130600	Sb03g011110	-
SORBI_3003G131200	Sobic.003G131200	Sb03g011170	-
SORBI_3003G131900	Sobic.003G131900	Sb03g011250	-
SORBI_3003G132300	Sobic.003G132300	Sb03g011280	-
SORBI_3003G134400	Sobic.003G134400	Sb03g011430	-
SORBI_3003G136500	Sobic.003G136500	Sb03g011620	-
SORBI_3003G136800	Sobic.003G136800	Sb03g011650	-
SORBI_3003G137700	Sobic.003G137700	Sb03g011720	-
SORBI_3003G138200	Sobic.003G138200	Sb03g011770	-
SORBI_3003G138300	Sobic.003G138300	Sb03g011790	-
SORBI_3003G139500	Sobic.003G139500	Sb03g011880	-
SORBI_3003G139600	Sobic.003G139600	Sb03g011890	-
SORBI_3003G139700	Sobic.003G139700	Sb03g011900	-
SORBI_3003G139800	Sobic.003G139800	Sb03g011910	-
SORBI_3003G140200	Sobic.003G140200	Sb03g011950	-
SORBI_3003G140400	Sobic.003G140400	Sb03g011960	-
SORBI_3003G140600	Sobic.003G140600	Sb03g011980	-
SORBI_3003G140700	Sobic.003G140700	Sb03g011990	-
SORBI_3003G140900	Sobic.003G140900	Sb03g012010	-
SORBI_3003G141000	Sobic.003G141000	Sb03g012020	-
SORBI_3003G141500	Sobic.003G141500	Sb03g012070	-
SORBI_3003G142400	Sobic.003G142400	Sb03g012320	-
SORBI_3003G143500	Sobic.003G143500	Sb03g012400	-
SORBI_3003G143600	Sobic.003G143600	Sb03g012410	-
SORBI_3003G143900	Sobic.003G143900	Sb03g012440	-
SORBI_3003G144000	Sobic.003G144000	Sb03g012450	-
SORBI_3003G144500	Sobic.003G144500	Sb03g012500	-
SORBI_3003G144800	Sobic.003G144800	Sb03g012530	-
SORBI_3003G146000	Sobic.003G146000	Sb03g012610	-
SORBI_3003G146100	Sobic.003G146100	Sb03g012620	-
SORBI_3003G146300	Sobic.003G146300	Sb03g012630	-
SORBI_3003G146600	Sobic.003G146600	Sb03g012680	-
SORBI_3003G146700	Sobic.003G146700	Sb03g012690	-
SORBI_3003G147401	Sobic.003G147401	Sb03g012760	-
SORBI_3003G147500	Sobic.003G147500	Sb03g012770	-
SORBI_3003G147600	Sobic.003G147600	Sb03g012780	-
SORBI_3003G147700	Sobic.003G147700	Sb03g012790	-
SORBI_3003G148300	Sobic.003G148300	Sb03g012820	-
SORBI_3003G150500	Sobic.003G150500	Sb03g013060	-
SORBI_3003G151000	Sobic.003G151000	Sb03g013110	-
SORBI_3003G151200	Sobic.003G151200	Sb03g013120	-
SORBI_3003G152300	Sobic.003G152300	Sb03g013230	-
SORBI_3003G152400	Sobic.003G152400	Sb03g013240	-
SORBI_3003G152800	Sobic.003G152800	Sb03g013280	-
SORBI_3003G153300	Sobic.003G153300	Sb03g013340	-
SORBI_3003G153600	Sobic.003G153600	Sb03g013400	-
SORBI_3003G153700	Sobic.003G153700	Sb03g013410	-
SORBI_3003G153900	Sobic.003G153900	Sb03g013430	-
SORBI_3003G154300	Sobic.003G154300	Sb03g013470	-
SORBI_3003G154700	Sobic.003G154700	Sb03g013510	-
SORBI_3003G155700	Sobic.003G155700	Sb03g013580	-
SORBI_3003G155800	Sobic.003G155800	Sb03g013590	-
SORBI_3003G156200	Sobic.003G156200	Sb03g013620	-
SORBI_3003G156600	Sobic.003G156600	Sb03g013650	-
SORBI_3003G156900	Sobic.003G156900	Sb03g013670	-
SORBI_3003G157600	Sobic.003G157600	Sb03g013740	-
SORBI_3003G157700	Sobic.003G157700	Sb03g013750	-
SORBI_3003G157900	Sobic.003G157900	Sb03g013760	-
SORBI_3003G158100	Sobic.003G158100	Sb03g013780	-
SORBI_3003G158300	Sobic.003G158300	Sb03g013790	-
SORBI_3003G160800	Sobic.003G160800	Sb03g014370	-
SORBI_3003G161400	Sobic.003G161400	Sb03g014426	-
SORBI_3003G165800	Sobic.003G165800	Sb03g015470	-
SORBI_3003G166200	Sobic.003G166200	Sb03g015670	-
SORBI_3003G169600	Sobic.003G169600	Sb03g017840	-
