VIT_01s0011g00230	Vitvi01g00024	Vitis01g00019
VIT_08s0007g03930	Vitvi08g01517	Vitis08g01478
VIT_08s0007g04250	Vitvi08g01548	Vitis08g01517
VIT_08s0007g04310	Vitvi08g01554	Vitis08g01525
VIT_08s0007g04520	Vitvi08g01573	Vitis08g01550
VIT_08s0007g04530	Vitvi08g01574	Vitis08g01551
VIT_08s0007g04790	Vitvi08g01603	Vitis08g01589
VIT_08s0007g04830	Vitvi08g01607	-
VIT_08s0007g05130	Vitvi08g01634	Vitis08g01626
VIT_08s0007g05170	Vitvi08g01638	Vitis08g01629
VIT_08s0007g05260	Vitvi08g01646	Vitis08g01637
VIT_08s0007g05360	Vitvi08g01656	Vitis08g01646
VIT_08s0007g05410	Vitvi08g01660	Vitis08g01652
VIT_08s0007g05600	Vitvi08g01672	Vitis08g01675
VIT_08s0007g05690	Vitvi08g01674	Vitis08g01697
VIT_08s0007g05710	Vitvi08g01676	Vitis08g01700
VIT_08s0007g05920	Vitvi08g01695	Vitis08g01721
VIT_08s0007g06270	Vitvi08g01720	Vitis08g01750
VIT_08s0007g06450	Vitvi08g02345	Vitis08g01765
VIT_08s0007g06490	Vitvi08g01737	Vitis08g01773
VIT_08s0007g07100	Vitvi08g01784	Vitis08g01832
VIT_08s0007g07170	Vitvi08g01792	Vitis08g01841
VIT_08s0007g08110	Vitvi08g01872	Vitis08g01920
VIT_08s0007g08200	Vitvi08g01879	Vitis08g01929
VIT_08s0007g08310	Vitvi08g01890	-
VIT_08s0007g08380	Vitvi08g01897	Vitis08g01947
VIT_08s0007g08470	Vitvi08g01905	Vitis08g01963
VIT_09s0002g00810	Vitvi09g01499	Vitis09g00071
VIT_09s0002g00820	Vitvi09g01500	Vitis09g00072
VIT_09s0002g01080	Vitvi09g00085	Vitis09g00095
VIT_09s0002g01850	Vitvi09g00156	Vitis09g00191
VIT_09s0002g02390	Vitvi09g00200	Vitis09g00246
VIT_09s0002g02630	Vitvi09g00220	-
VIT_09s0002g03410	Vitvi09g00281	Vitis09g00335
VIT_09s0002g04080	Vitvi09g00336	-
VIT_09s0002g05200	Vitvi09g00439	Vitis09g00536
VIT_09s0002g05230	Vitvi09g00442	Vitis09g00538
VIT_09s0002g06760	Vitvi09g00595	Vitis09g00684
VIT_09s0002g07640	Vitvi09g04207	-
VIT_09s0002g08370	Vitvi09g00753	-
VIT_09s0002g08670	Vitvi09g00794	Vitis09g00885
VIT_09s0070g00240	Vitvi09g00993	Vitis09g01102
VIT_09s0070g00470	Vitvi09g01011	-
VIT_09s0070g00580	Vitvi09g01025	Vitis09g01132
VIT_09s0018g00240	Vitvi09g01122	Vitis09g01247
VIT_09s0018g01180	Vitvi09g01227	Vitis09g01350
VIT_09s0018g01190	Vitvi09g01229	Vitis09g01353
VIT_09s0018g01820	Vitvi09g01287	Vitis09g01419
VIT_09s0054g00600	Vitvi09g01372	Vitis09g01544
VIT_09s0054g00930	Vitvi09g01401	Vitis09g01579
VIT_10s0116g00410	Vitvi10g00020	Vitis10g00063
VIT_10s0116g00860	Vitvi10g00047	Vitis10g00089
VIT_10s0116g00910	Vitvi10g00050	Vitis10g00092
VIT_10s0116g00920	Vitvi10g01613	-
VIT_10s0116g01200	Vitvi10g00063	Vitis10g00115
VIT_10s0116g01480	Vitvi10g00073	Vitis10g00129
VIT_10s0116g01540	Vitvi10g00078	Vitis10g00134
VIT_10s0116g01670	Vitvi10g00088	Vitis10g00145
VIT_10s0116g01730	Vitvi10g00094	-
VIT_00s2750g00010	Vitvi10g00174	-
VIT_00s0187g00340	Vitvi10g00177	Vitis10g00258
VIT_00s0187g00300	Vitvi10g04077	-
VIT_00s0194g00110	Vitvi10g00223	Vitis10g00301
VIT_00s0194g00120	Vitvi10g00224	Vitis10g00302
VIT_10s0405g00030	Vitvi10g00285	Vitis10g00383
VIT_00s0181g00140	Vitvi10g00366	Vitis10g00617
VIT_00s0181g00250	Vitvi10g00383	Vitis10g00626
VIT_00s0647g00010	Vitvi10g04300	-
VIT_00s0583g00030	Vitvi10g00414	Vitis10g00697
VIT_00s0265g00030	Vitvi10g04315	Vitis10g00714
VIT_10s0003g00050	Vitvi10g04328	Vitis10g00743
VIT_10s0003g00420	Vitvi10g00510	Vitis10g00780
VIT_10s0003g01000	Vitvi10g00554	Vitis10g00854
VIT_10s0003g01560	Vitvi10g00613	Vitis10g00912
VIT_10s0003g01830	Vitvi10g00639	Vitis10g00939
VIT_10s0003g02810	Vitvi10g00732	Vitis10g01071
VIT_10s0003g02880	Vitvi10g00739	Vitis10g01077
VIT_10s0003g03080	Vitvi10g00754	Vitis10g01104
VIT_10s0003g03270	Vitvi10g00777	Vitis10g01124
VIT_10s0003g03750	Vitvi10g00821	Vitis10g01188
VIT_10s0003g03830	Vitvi10g00829	Vitis10g01195
VIT_10s0003g03870	Vitvi10g00835	Vitis10g01205
VIT_10s0003g03910	Vitvi10g00838	Vitis10g01207
VIT_10s0003g04100	Vitvi10g00854	Vitis10g01227
VIT_10s0003g04120	Vitvi10g00858	Vitis10g01229
VIT_10s0003g04240	Vitvi10g00870	Vitis10g01238
VIT_10s0003g04390	Vitvi10g00886	Vitis10g01274
VIT_10s0003g04470	Vitvi10g00888	Vitis10g01285
VIT_10s0003g05040	Vitvi10g00950	Vitis10g01371
VIT_10s0003g05380	Vitvi10g01016	Vitis10g01428
VIT_10s0092g00090	Vitvi10g01098	Vitis10g01499
VIT_10s0042g01250	Vitvi10g01335	Vitis10g01826
VIT_10s0042g01090	Vitvi10g01358	Vitis10g01846
VIT_10s0042g00950	Vitvi10g01386	Vitis10g01866
VIT_10s0042g00830	Vitvi10g01394	Vitis10g01878
VIT_10s0042g00170	Vitvi10g01466	Vitis10g01940
VIT_10s0042g00100	Vitvi10g01476	Vitis10g01947
VIT_10s0042g00050	Vitvi10g02038	-
VIT_10s0042g00020	Vitvi10g04679	Vitis10g01952
VIT_10s0071g00010	Vitvi10g02041	-
VIT_10s0071g00250	Vitvi10g01505	Vitis10g01984
VIT_10s0071g00290	Vitvi10g01506	Vitis10g01986
VIT_10s0071g00950	Vitvi10g01555	Vitis10g02070
VIT_11s0016g00280	Vitvi11g00012	Vitis11g00021
VIT_11s0016g00340	Vitvi11g00017	Vitis11g00026
VIT_11s0016g00470	Vitvi11g00030	Vitis11g00042
VIT_11s0016g00540	Vitvi11g00037	Vitis11g00049
VIT_11s0016g00640	Vitvi11g00043	Vitis11g00058
VIT_11s0016g00830	Vitvi11g00063	Vitis11g00079
VIT_11s0016g00860	Vitvi11g01328	Vitis11g00083
VIT_11s0016g00870	Vitvi11g01329	Vitis11g00084
VIT_11s0016g00880	Vitvi11g01330	Vitis11g00086
VIT_11s0016g00900	Vitvi11g00066	-
VIT_11s0016g01230	Vitvi11g00090	Vitis11g00119
VIT_11s0016g01720	Vitvi11g00130	Vitis11g00174
VIT_11s0016g01780	Vitvi11g00137	Vitis11g00180
VIT_11s0016g01990	Vitvi11g00158	Vitis11g00204
VIT_11s0016g02180	Vitvi11g00175	-
VIT_11s0016g02280	Vitvi11g00186	-
VIT_11s0016g02380	Vitvi11g00195	Vitis11g00247
VIT_11s0016g02410	Vitvi11g00197	Vitis11g00251
VIT_11s0016g02450	Vitvi11g01377	Vitis11g00255
VIT_11s0016g02560	Vitvi11g00212	Vitis11g00267
VIT_11s0016g02700	Vitvi11g00226	-
VIT_11s0016g02800	Vitvi11g00231	Vitis11g00289
VIT_11s0016g03200	Vitvi11g00271	Vitis11g00330
VIT_11s0016g03410	Vitvi11g00292	Vitis11g00352
VIT_11s0016g03640	Vitvi11g00309	Vitis11g00377
VIT_11s0016g03690	Vitvi11g00315	Vitis11g00382
VIT_11s0016g03720	Vitvi11g00318	Vitis11g00386
VIT_11s0016g03930	Vitvi11g00338	Vitis11g00408
VIT_11s0016g05060	Vitvi11g00447	Vitis11g00523
VIT_11s0016g05190	Vitvi11g01435	Vitis11g00538
VIT_11s0016g05360	Vitvi11g00469	Vitis11g00557
VIT_11s0016g05370	Vitvi11g00471	Vitis11g00558
VIT_11s0118g00200	Vitvi11g00542	Vitis11g00652
VIT_11s0149g00130	Vitvi11g00619	Vitis11g00758
VIT_11s0206g00020	Vitvi11g00636	-
VIT_11s0016g00130	Vitvi11g00672	Vitis11g00807
VIT_11s0037g00250	Vitvi11g00704	-
VIT_11s0037g00340	Vitvi11g01504	Vitis11g00847
VIT_11s0037g00530	Vitvi11g00726	Vitis11g00869
VIT_11s0037g00930	Vitvi11g00809	Vitis11g00942
VIT_11s0037g00950	Vitvi11g00811	Vitis11g00946
VIT_11s0037g01100	Vitvi11g00824	Vitis11g00965
VIT_11s0065g00100	Vitvi11g00893	Vitis11g01023
VIT_11s0103g00190	Vitvi11g01098	Vitis11g01253
VIT_11s0103g00400	Vitvi11g01117	Vitis11g01283
VIT_11s0103g00420	Vitvi11g01118	Vitis11g01284
VIT_11s0052g00440	Vitvi11g01186	Vitis11g01398
VIT_11s0052g00450	Vitvi11g01188	Vitis11g01399
VIT_11s0052g00540	Vitvi11g01198	Vitis11g01409
VIT_11s0052g00820	Vitvi11g01657	Vitis11g01447
VIT_11s0052g00850	Vitvi11g01232	Vitis11g01451
VIT_11s0052g01090	Vitvi11g01257	Vitis11g01480
VIT_11s0052g01110	Vitvi11g01258	Vitis11g01483
VIT_11s0052g01390	Vitvi11g01273	Vitis11g01509
VIT_11s0052g01400	Vitvi11g01277	Vitis11g01515
VIT_11s0052g01710	Vitvi11g01300	Vitis11g01545
VIT_12s0142g00280	Vitvi12g00022	Vitis12g00037
VIT_12s0142g00220	Vitvi12g00027	Vitis12g00044
VIT_12s0142g00090	Vitvi12g00034	Vitis12g00052
VIT_12s0028g00270	Vitvi12g00048	Vitis12g00071
VIT_12s0028g00630	Vitvi12g00067	Vitis12g00091
VIT_12s0028g00710	Vitvi12g00071	Vitis12g00100
VIT_12s0028g00980	Vitvi12g02204	Vitis12g00119
VIT_12s0028g01110	Vitvi12g00096	Vitis12g00130
VIT_12s0028g01810	Vitvi12g00157	-
VIT_12s0028g01820	Vitvi12g00158	Vitis12g00206
VIT_12s0028g02140	Vitvi12g02250	Vitis12g00241
VIT_12s0028g02340	Vitvi12g00198	Vitis12g00261
VIT_12s0028g03030	Vitvi12g00252	-
VIT_12s0028g03200	Vitvi12g00270	Vitis12g00341
VIT_12s0028g03210	Vitvi12g04064	Vitis12g00342
VIT_12s0028g03240	Vitvi12g02300	-
VIT_12s0028g03260	Vitvi12g00272	-
VIT_12s0028g03350	Vitvi12g00280	Vitis12g00354
VIT_12s0059g00450	Vitvi12g00353	Vitis12g00487
VIT_12s0059g00750	Vitvi12g00380	Vitis12g00510
VIT_12s0059g01130	Vitvi12g00415	-
VIT_12s0059g01600	Vitvi12g00459	Vitis12g00597
VIT_12s0057g01170	Vitvi12g00736	-
VIT_12s0057g01200	Vitvi12g02504	Vitis12g00964
VIT_12s0057g01240	Vitvi12g00745	Vitis12g00970
VIT_12s0057g01270	Vitvi12g02505	Vitis12g00973
VIT_12s0057g01410	Vitvi12g00764	Vitis12g00995
VIT_12s0057g01420	Vitvi12g00765	Vitis12g00996
VIT_12s0057g01480	Vitvi12g00770	Vitis12g01003
VIT_12s0055g00920	Vitvi12g01610	Vitis12g01279
VIT_12s0055g00840	Vitvi12g01618	Vitis12g01288
VIT_12s0034g02380	Vitvi12g01915	Vitis12g01629
VIT_12s0035g00320	Vitvi12g01973	Vitis12g01700
VIT_12s0035g00760	Vitvi12g02013	Vitis12g01747
VIT_12s0035g01800	Vitvi12g02122	Vitis12g01861
VIT_12s0035g01920	Vitvi12g02139	Vitis12g01888
VIT_12s0035g01950	Vitvi12g02141	Vitis12g01890
VIT_12s0035g02100	Vitvi12g02758	-
VIT_12s0035g02110	Vitvi12g02159	Vitis12g01912
VIT_13s0067g00330	Vitvi13g00019	Vitis13g00031
VIT_13s0067g00400	Vitvi13g00022	Vitis13g00034
VIT_13s0067g00840	Vitvi13g00045	Vitis13g00060
VIT_13s0067g00990	Vitvi13g00053	-
VIT_13s0067g01110	Vitvi13g00059	Vitis13g00073
VIT_13s0067g01120	Vitvi13g00060	Vitis13g00075
VIT_13s0067g02380	Vitvi13g00144	Vitis13g00173
VIT_13s0067g02720	Vitvi13g04031	Vitis13g00191
VIT_13s0067g02730	Vitvi13g00164	Vitis13g00192
VIT_13s0067g02780	Vitvi13g04037	Vitis13g00197
VIT_13s0067g02830	Vitvi13g04038	-
VIT_13s0067g02990	Vitvi13g00177	Vitis13g00212
VIT_13s0067g03440	Vitvi13g00207	Vitis13g00247
VIT_13s0019g00510	Vitvi13g04079	Vitis13g00336
VIT_13s0019g00840	Vitvi13g01966	Vitis13g00353
VIT_13s0019g01260	Vitvi13g00295	Vitis13g00374
VIT_13s0019g02210	Vitvi13g00345	Vitis13g00434
VIT_13s0019g02390	Vitvi13g00359	Vitis13g00454
VIT_13s0019g02860	Vitvi13g00397	Vitis13g00490
VIT_13s0019g02810	Vitvi13g00398	Vitis13g00487
VIT_13s0019g03350	Vitvi13g00507	Vitis13g00533
VIT_13s0019g03380	Vitvi13g00512	Vitis13g00536
VIT_13s0019g04170	Vitvi13g00594	Vitis13g00628
VIT_13s0019g04190	Vitvi13g00597	Vitis13g00630
VIT_13s0019g04370	Vitvi13g00613	Vitis13g00644
VIT_13s0019g04380	Vitvi13g02058	Vitis13g00646
VIT_13s0019g04460	Vitvi13g00622	Vitis13g00658
VIT_13s0019g04730	Vitvi13g00654	Vitis13g00687
VIT_13s0019g05160	Vitvi13g00692	Vitis13g00733
VIT_13s0074g00080	Vitvi13g02082	-
VIT_13s0074g00620	Vitvi13g00774	Vitis08g00207
VIT_13s0106g00280	Vitvi13g00832	Vitis13g00911
VIT_13s0106g00380	Vitvi13g00843	Vitis13g00922
VIT_13s0106g00790	Vitvi13g00887	Vitis13g00965
VIT_13s0147g00100	Vitvi13g00917	-
VIT_13s0073g00250	Vitvi13g01022	Vitis13g01138
VIT_13s0073g00490	Vitvi13g01044	-
VIT_13s0067g01830	Vitvi13g01259	-
VIT_13s0067g01770	Vitvi13g01264	Vitis13g01425
VIT_13s0067g01630	Vitvi13g01266	Vitis13g01428
VIT_13s0084g00150	Vitvi13g01386	Vitis13g01558
VIT_13s0084g00660	Vitvi13g01350	Vitis13g01627
VIT_00s0591g00020	Vitvi13g04616	-
VIT_00s1715g00010	Vitvi13g04620	-
VIT_13s0019g01010	Vitvi13g01545	Vitis13g01888
VIT_13s0158g00340	Vitvi13g01613	Vitis13g01957
VIT_13s0064g00050	Vitvi13g01645	Vitis13g02005
VIT_13s0064g00440	Vitvi13g01684	Vitis13g02066
VIT_13s0064g00810	Vitvi13g01724	Vitis13g02111
VIT_13s0064g00840	Vitvi13g01727	Vitis13g02117
VIT_13s0064g00890	Vitvi13g01731	Vitis13g02123
VIT_13s0064g00930	Vitvi13g01734	-
VIT_13s0064g00940	Vitvi13g01735	Vitis13g02128
VIT_13s0156g00060	Vitvi13g01842	Vitis13g02273
VIT_13s0156g00180	Vitvi13g01832	Vitis13g02258
VIT_14s0060g00360	Vitvi14g00033	Vitis14g00054
VIT_14s0060g00480	Vitvi14g02444	Vitis14g00069
VIT_14s0060g01180	Vitvi14g00093	Vitis14g00140
VIT_14s0060g01190	Vitvi14g02474	Vitis14g00141
VIT_14s0060g01680	Vitvi14g00137	Vitis14g00190
VIT_14s0060g02320	Vitvi14g00183	Vitis14g00256
VIT_14s0060g02680	Vitvi14g02526	Vitis14g00313
VIT_14s0128g00330	Vitvi14g00258	Vitis14g00392
VIT_14s0128g00320	Vitvi14g00259	Vitis14g00393
VIT_14s0128g00170	Vitvi14g00272	Vitis14g00405
VIT_14s0128g00110	Vitvi14g00277	Vitis14g00411
VIT_14s0030g00030	Vitvi14g00291	-
VIT_14s0030g00440	Vitvi14g00322	Vitis14g00476
VIT_14s0030g00650	Vitvi14g00338	Vitis14g00509
VIT_14s0030g00660	Vitvi14g00339	Vitis14g00510
VIT_14s0030g00950	Vitvi14g04138	-
VIT_14s0030g01560	Vitvi14g00407	Vitis14g00630
VIT_14s0030g01740	Vitvi14g00424	Vitis14g00654
VIT_14s0030g01900	Vitvi14g00439	Vitis14g00672
VIT_14s0030g02140	Vitvi14g00466	Vitis14g00706
VIT_14s0030g02180	Vitvi14g00471	Vitis14g00710
VIT_14s0081g00010	Vitvi14g00484	Vitis14g00734
VIT_14s0081g00200	Vitvi14g02674	Vitis14g00753
VIT_14s0081g00240	Vitvi14g00503	Vitis14g00760
VIT_14s0081g00630	Vitvi14g00547	Vitis14g00821
VIT_14s0036g00520	Vitvi14g00619	Vitis14g00922
VIT_14s0006g00640	Vitvi14g00841	Vitis14g01170
VIT_14s0006g01660	Vitvi14g00980	Vitis14g01321
VIT_14s0006g01790	Vitvi14g00996	Vitis14g01336
VIT_14s0006g01820	Vitvi14g00998	Vitis14g01339
VIT_14s0006g01970	Vitvi14g01023	Vitis14g01369
VIT_14s0006g02820	Vitvi14g01178	Vitis14g01483
VIT_14s0006g02970	Vitvi14g01195	Vitis14g01495
VIT_14s0006g03230	Vitvi14g01226	Vitis14g01523
VIT_14s0083g00110	Vitvi14g01246	Vitis14g01538
VIT_14s0083g00460	Vitvi14g01281	Vitis14g01582
VIT_14s0083g00520	Vitvi14g01283	Vitis14g01586
VIT_14s0083g00640	Vitvi14g01296	Vitis14g01598
VIT_14s0083g01030	Vitvi14g01341	Vitis14g01652
VIT_14s0083g01100	Vitvi14g01350	Vitis14g01659
VIT_14s0068g00210	Vitvi14g02934	Vitis14g01692
VIT_14s0068g00300	Vitvi14g01394	Vitis14g01701
VIT_14s0068g00680	Vitvi14g01424	Vitis14g01756
VIT_14s0068g00840	Vitvi14g01439	Vitis14g01776
VIT_14s0068g00910	Vitvi14g01447	Vitis14g01783
VIT_14s0068g01190	Vitvi14g01472	Vitis14g01810
VIT_14s0068g01300	Vitvi14g01481	Vitis14g01822
VIT_14s0068g01330	Vitvi14g01482	Vitis14g01823
VIT_14s0068g01460	Vitvi14g01497	-
VIT_14s0068g01960	Vitvi14g01537	Vitis14g01879
VIT_14s0068g02110	Vitvi14g01551	Vitis14g01892
VIT_14s0171g00090	Vitvi14g02984	Vitis14g01969
VIT_14s0171g00130	Vitvi14g01571	Vitis14g01974
VIT_14s0171g00440	Vitvi14g01600	Vitis14g02008
VIT_14s0219g00150	Vitvi14g01627	Vitis14g02037
VIT_14s0219g00280	Vitvi14g01639	Vitis14g02048
VIT_14s0066g00340	Vitvi14g01675	Vitis14g02082
VIT_14s0066g00810	Vitvi14g01717	Vitis14g02137
VIT_14s0066g00970	Vitvi14g01735	Vitis14g02153
VIT_14s0066g01210	Vitvi14g01763	Vitis14g02181
VIT_14s0066g01240	Vitvi14g01765	Vitis14g02184
VIT_14s0066g01310	Vitvi14g01772	Vitis14g02190
VIT_14s0066g01550	Vitvi14g01796	Vitis14g02206
VIT_14s0066g02240	Vitvi14g01852	Vitis14g02278
VIT_14s0066g02410	Vitvi14g01874	Vitis14g02294
VIT_14s0108g00010	Vitvi14g01898	Vitis14g02325
VIT_14s0108g00020	Vitvi14g01899	Vitis14g02327
VIT_14s0108g00700	Vitvi14g01952	Vitis14g02401
VIT_14s0108g00940	Vitvi14g01968	-
VIT_14s0108g01330	Vitvi14g02011	Vitis14g02464
VIT_14s0108g01590	Vitvi14g03099	Vitis14g02488
VIT_15s0107g00380	Vitvi15g00254	Vitis15g00343
VIT_15s0045g00310	Vitvi15g00289	Vitis15g00390
VIT_15s0021g00210	Vitvi15g00419	-
VIT_15s0021g00310	Vitvi15g00432	Vitis15g00574
VIT_15s0021g00460	Vitvi15g00445	Vitis15g00585
VIT_15s0021g00500	Vitvi15g00452	Vitis15g00589
VIT_15s0021g02110	Vitvi15g00601	Vitis15g00767
VIT_15s0021g02190	Vitvi15g00612	Vitis15g00779
VIT_15s0021g02240	Vitvi15g00615	Vitis15g00784
VIT_15s0021g02440	Vitvi15g04368	-
VIT_15s0048g00320	Vitvi15g00684	Vitis15g00886
VIT_15s0048g00330	Vitvi15g01489	-
VIT_15s0048g00340	Vitvi15g00687	-
VIT_15s0048g00350	Vitvi15g01490	Vitis15g00888
VIT_15s0048g00360	Vitvi15g01491	-
VIT_15s0048g00370	Vitvi15g00690	Vitis15g00893
VIT_15s0048g00420	Vitvi15g00694	Vitis15g00897
VIT_15s0048g00750	Vitvi15g00728	Vitis15g00934
VIT_15s0048g01250	Vitvi15g00774	Vitis15g00991
VIT_15s0048g02410	Vitvi15g00870	Vitis15g01115
VIT_15s0048g02540	Vitvi15g00879	Vitis15g01131
VIT_00s0322g00030	Vitvi15g04497	Vitis07g02001
VIT_00s0494g00010	Vitvi15g04517	Vitis07g01989
VIT_15s0046g00180	Vitvi15g00940	Vitis15g01197
VIT_15s0046g00320	Vitvi15g00948	Vitis15g01208
VIT_15s0046g01140	Vitvi15g01003	-
VIT_15s0046g01280	Vitvi15g01014	Vitis15g01305
VIT_15s0046g02170	Vitvi15g01089	Vitis15g01387
VIT_15s0046g02220	Vitvi15g01093	Vitis15g01392
VIT_15s0046g02860	Vitvi15g01141	Vitis15g01441
VIT_15s0046g03410	Vitvi15g01174	Vitis15g01486
VIT_15s0046g03520	Vitvi15g01178	Vitis15g01490
VIT_15s0046g03670	Vitvi15g01188	Vitis15g01499
VIT_14s0060g00260	Vitvi15g04653	Vitis14g00043
VIT_14s0060g00240	Vitvi15g04655	Vitis14g00041
VIT_14s0060g00210	Vitvi15g04658	Vitis14g00037
VIT_14s0060g00100	Vitvi15g04666	Vitis14g00030
VIT_16s0039g01380	Vitvi16g01508	Vitis16g00085
VIT_16s0039g01410	Vitvi16g01509	Vitis16g00089
VIT_16s0039g01450	Vitvi16g00073	Vitis16g00093
VIT_16s0039g01470	Vitvi16g00075	Vitis16g00095
VIT_16s0039g01780	Vitvi16g00109	Vitis16g00152
VIT_16s0039g02020	Vitvi16g00137	Vitis16g00181
VIT_16s0039g02040	Vitvi16g00139	Vitis16g00183
VIT_16s0039g02140	Vitvi16g00149	Vitis16g00193
VIT_16s0039g02410	Vitvi16g00168	Vitis16g00228
VIT_16s0013g00260	Vitvi16g00280	Vitis16g00324
VIT_16s0013g01680	Vitvi16g00455	Vitis16g00537
VIT_16s0013g01750	Vitvi16g00463	Vitis16g00547
VIT_16s0013g01890	Vitvi16g01707	-
VIT_16s0022g00320	Vitvi16g00652	Vitis16g00817
VIT_16s0022g00660	Vitvi16g00712	Vitis16g00880
VIT_16s0022g00670	Vitvi16g00713	Vitis16g00881
VIT_16s0022g01030	Vitvi16g00753	Vitis16g00916
VIT_16s0022g01080	Vitvi16g04301	Vitis16g00927
VIT_16s0022g01440	Vitvi16g00796	Vitis16g00979
VIT_16s0022g01770	Vitvi16g00831	Vitis16g01010
VIT_16s0022g02320	Vitvi16g00891	Vitis16g01077
VIT_16s0100g00160	Vitvi16g00919	Vitis16g01136
VIT_16s0100g00400	Vitvi16g00942	Vitis16g01167
VIT_16s0100g00480	Vitvi16g00953	Vitis16g01178
VIT_16s0100g00720	Vitvi16g00982	Vitis16g01200
VIT_16s0050g00780	Vitvi16g01073	Vitis16g01367
VIT_16s0050g02510	Vitvi16g01213	Vitis16g01553
VIT_16s0050g02670	Vitvi16g01233	Vitis16g01569
VIT_16s0098g00770	Vitvi16g02057	Vitis16g01758
VIT_16s0098g00780	Vitvi16g02058	-
VIT_16s0098g00900	Vitvi16g01340	Vitis16g01775
VIT_16s0098g01250	Vitvi16g01371	Vitis16g01810
VIT_16s0098g01780	Vitvi16g01405	Vitis16g01851
VIT_17s0000g00500	Vitvi17g00051	-
VIT_17s0000g00900	Vitvi17g00074	Vitis17g00076
VIT_17s0000g01320	Vitvi17g00104	Vitis17g00116
VIT_17s0000g01600	Vitvi17g00127	Vitis17g00141
VIT_17s0000g01620	Vitvi17g00130	Vitis17g00142
VIT_17s0000g01690	Vitvi17g00138	Vitis17g00155
VIT_17s0000g01870	Vitvi17g00157	Vitis17g00177
VIT_17s0000g01950	Vitvi17g00163	Vitis17g00182
VIT_17s0000g01960	Vitvi17g00164	Vitis17g00183
VIT_17s0000g02140	Vitvi17g00178	-
VIT_17s0000g02420	Vitvi17g00210	Vitis17g00244
VIT_17s0000g02680	Vitvi17g00234	Vitis17g00271
VIT_17s0000g02800	Vitvi17g00241	Vitis17g00278
VIT_17s0000g02960	Vitvi17g00255	Vitis17g00301
VIT_17s0000g03010	Vitvi17g00261	Vitis17g00306
VIT_17s0000g03490	Vitvi17g01399	Vitis17g00370
VIT_17s0000g03690	Vitvi17g00320	Vitis17g00402
VIT_17s0000g04580	Vitvi17g00416	Vitis17g00516
VIT_17s0000g04600	Vitvi17g00421	Vitis17g00520
VIT_17s0000g04610	Vitvi17g00422	Vitis17g00521
VIT_17s0000g04660	Vitvi17g00427	Vitis17g00529
VIT_17s0000g04790	Vitvi17g00442	Vitis17g00555
VIT_17s0000g04830	Vitvi17g00445	-
VIT_17s0000g04910	Vitvi17g00453	Vitis17g00567
VIT_17s0000g05030	Vitvi17g01440	Vitis17g00585
VIT_17s0000g05120	Vitvi17g00485	Vitis17g00595
VIT_17s0000g05330	Vitvi17g00505	Vitis17g00614
VIT_17s0000g05750	Vitvi17g00551	Vitis17g00666
VIT_17s0000g05800	Vitvi17g00555	Vitis17g00677
VIT_17s0000g06280	Vitvi17g00608	Vitis17g00740
VIT_17s0000g06440	Vitvi17g00627	Vitis17g00760
VIT_17s0000g06450	Vitvi17g00629	-
VIT_17s0000g06590	Vitvi17g00642	Vitis17g00773
VIT_17s0000g06960	Vitvi17g00682	Vitis17g00823
VIT_17s0000g07200	Vitvi17g00700	Vitis17g00851
VIT_17s0000g07370	Vitvi17g01513	-
VIT_17s0000g07400	Vitvi17g04216	-
VIT_17s0000g07420	Vitvi17g01520	Vitis17g00879
VIT_17s0000g07560	Vitvi17g01523	Vitis17g00899
VIT_17s0000g07650	Vitvi17g01525	Vitis17g00907
VIT_17s0000g07660	Vitvi17g04221	-
VIT_17s0000g08070	Vitvi17g00786	Vitis17g00955
VIT_17s0000g08390	Vitvi17g00816	Vitis17g00989
VIT_17s0000g08450	Vitvi17g00819	-
VIT_17s0000g08460	Vitvi17g00820	Vitis17g00997
VIT_17s0000g08520	Vitvi17g00826	-
VIT_17s0000g08660	Vitvi17g00843	Vitis17g01019
VIT_17s0000g08960	Vitvi17g00885	Vitis17g01062
VIT_17s0000g08990	Vitvi17g00889	Vitis17g01066
VIT_17s0000g09070	Vitvi17g00894	Vitis17g01073
VIT_17s0000g09490	Vitvi17g00938	Vitis17g01117
VIT_17s0000g09840	Vitvi17g00983	Vitis17g01160
VIT_17s0000g10050	Vitvi17g01011	Vitis17g01191
VIT_17s0000g10430	Vitvi17g01598	Vitis17g01232
VIT_17s0000g00920	Vitvi17g01086	Vitis17g01299
VIT_17s0053g00120	Vitvi17g01162	Vitis17g01409
VIT_17s0053g00700	Vitvi17g01221	Vitis17g01475
VIT_18s0122g00590	Vitvi18g00042	-
VIT_18s0122g00610	Vitvi18g00043	Vitis18g00048
VIT_18s0122g00960	Vitvi18g00068	Vitis18g00073
VIT_18s0001g00060	Vitvi18g00111	Vitis18g00118
VIT_18s0001g00180	Vitvi18g00120	Vitis18g00127
VIT_18s0001g00770	Vitvi18g00159	-
VIT_18s0001g00810	Vitvi18g00163	Vitis18g00173
VIT_18s0001g01640	Vitvi18g00215	-
VIT_18s0001g01810	Vitvi18g00224	Vitis18g00240
VIT_18s0001g02090	Vitvi18g00240	Vitis18g00261
VIT_18s0001g02120	Vitvi18g00241	Vitis18g00263
VIT_18s0001g02140	Vitvi18g00242	-
VIT_18s0001g02370	Vitvi18g00252	Vitis18g00276
VIT_18s0001g02550	Vitvi18g00261	Vitis18g00287
