HORVU.MOREX.r3.1HG0000030	HORVU1Hr1G000030
HORVU.MOREX.r3.2HG0217790	HORVU2Hr1G127340
HORVU.MOREX.r3.2HG0217830	HORVU2Hr1G127500
HORVU.MOREX.r3.2HG0217840	HORVU2Hr1G127490
HORVU.MOREX.r3.2HG0217850	HORVU2Hr1G127480
HORVU.MOREX.r3.2HG0217910	HORVU2Hr1G127590
HORVU.MOREX.r3.2HG0217920	HORVU2Hr1G127520
HORVU.MOREX.r3.2HG0217930	HORVU2Hr1G127510
HORVU.MOREX.r3.2HG0217960	HORVU2Hr1G127650
HORVU.MOREX.r3.2HG0217970	HORVU2Hr1G127670
HORVU.MOREX.r3.2HG0217990	HORVU2Hr1G127680
HORVU.MOREX.r3.2HG0218020	HORVU2Hr1G127700
HORVU.MOREX.r3.3HG0218100	HORVU3Hr1G000130
HORVU.MOREX.r3.3HG0218110	HORVU3Hr1G000120
HORVU.MOREX.r3.3HG0218120	HORVU3Hr1G000110
HORVU.MOREX.r3.3HG0218130	HORVU3Hr1G000140
HORVU.MOREX.r3.3HG0218140	HORVU3Hr1G000150
HORVU.MOREX.r3.3HG0218150	HORVU3Hr1G000160
HORVU.MOREX.r3.3HG0218180	HORVU3Hr1G000170
HORVU.MOREX.r3.3HG0218190	HORVU3Hr1G000180
HORVU.MOREX.r3.3HG0218220	HORVU3Hr1G000280
HORVU.MOREX.r3.3HG0218230	HORVU3Hr1G000260
HORVU.MOREX.r3.3HG0218240	HORVU3Hr1G000250
HORVU.MOREX.r3.3HG0218270	HORVU3Hr1G000360
HORVU.MOREX.r3.3HG0218320	HORVU3Hr1G000350
HORVU.MOREX.r3.3HG0218330	HORVU3Hr1G000340
HORVU.MOREX.r3.3HG0218410	HORVU3Hr1G000420
HORVU.MOREX.r3.3HG0218450	HORVU3Hr1G000490
HORVU.MOREX.r3.3HG0218520	HORVU3Hr1G000090
HORVU.MOREX.r3.3HG0218550	HORVU3Hr1G000050
HORVU.MOREX.r3.3HG0218560	HORVU3Hr1G000030
HORVU.MOREX.r3.3HG0218640	HORVU3Hr1G000540
HORVU.MOREX.r3.3HG0218660	HORVU3Hr1G000550
HORVU.MOREX.r3.3HG0218670	HORVU3Hr1G000560
HORVU.MOREX.r3.3HG0218700	HORVU3Hr1G000580
HORVU.MOREX.r3.3HG0218760	HORVU3Hr1G000590
HORVU.MOREX.r3.3HG0218790	HORVU3Hr1G000740
HORVU.MOREX.r3.3HG0218800	HORVU3Hr1G000720
HORVU.MOREX.r3.3HG0218860	HORVU3Hr1G000700
HORVU.MOREX.r3.3HG0218870	HORVU3Hr1G000690
HORVU.MOREX.r3.3HG0218880	HORVU3Hr1G000690
HORVU.MOREX.r3.3HG0218890	HORVU3Hr1G000800
HORVU.MOREX.r3.3HG0218930	HORVU3Hr1G000650
HORVU.MOREX.r3.3HG0218950	HORVU3Hr1G000810
HORVU.MOREX.r3.3HG0218960	HORVU3Hr1G000620
HORVU.MOREX.r3.3HG0219000	HORVU3Hr1G000600
HORVU.MOREX.r3.3HG0219020	HORVU3Hr1G000760
HORVU.MOREX.r3.3HG0219030	HORVU3Hr1G000760
HORVU.MOREX.r3.3HG0219040	HORVU3Hr1G000760
HORVU.MOREX.r3.3HG0219050	HORVU3Hr1G000770
HORVU.MOREX.r3.3HG0219070	HORVU3Hr1G000940
HORVU.MOREX.r3.3HG0219090	HORVU3Hr1G000930
HORVU.MOREX.r3.3HG0219120	HORVU3Hr1G000910
HORVU.MOREX.r3.3HG0219130	HORVU3Hr1G000900
HORVU.MOREX.r3.3HG0219140	HORVU3Hr1G000890
HORVU.MOREX.r3.3HG0219160	HORVU3Hr1G000880
HORVU.MOREX.r3.3HG0219180	HORVU3Hr1G000870
HORVU.MOREX.r3.3HG0219220	HORVU3Hr1G000950
HORVU.MOREX.r3.3HG0219230	HORVU3Hr1G000960
HORVU.MOREX.r3.3HG0219250	HORVU3Hr1G001000
HORVU.MOREX.r3.3HG0219270	HORVU3Hr1G001020
HORVU.MOREX.r3.3HG0219280	HORVU3Hr1G001030
HORVU.MOREX.r3.3HG0219290	HORVU3Hr1G001040
HORVU.MOREX.r3.3HG0219300	HORVU3Hr1G001060
HORVU.MOREX.r3.3HG0219310	HORVU3Hr1G001070
HORVU.MOREX.r3.3HG0219350	HORVU3Hr1G001150
HORVU.MOREX.r3.3HG0219440	HORVU3Hr1G001200
HORVU.MOREX.r3.3HG0219470	HORVU3Hr1G001230
HORVU.MOREX.r3.3HG0219490	HORVU3Hr1G001250
HORVU.MOREX.r3.3HG0219500	HORVU3Hr1G001260
HORVU.MOREX.r3.3HG0219520	HORVU3Hr1G001380
HORVU.MOREX.r3.3HG0219540	HORVU3Hr1G001340
HORVU.MOREX.r3.3HG0219550	HORVU3Hr1G001360
HORVU.MOREX.r3.3HG0219560	HORVU3Hr1G001370
HORVU.MOREX.r3.3HG0219570	HORVU3Hr1G001280
HORVU.MOREX.r3.3HG0219590	HORVU3Hr1G001320
HORVU.MOREX.r3.3HG0219610	HORVU3Hr1G001390
HORVU.MOREX.r3.3HG0219640	HORVU3Hr1G001400
HORVU.MOREX.r3.3HG0219650	HORVU3Hr1G001430
HORVU.MOREX.r3.3HG0219710	HORVU3Hr1G001430
HORVU.MOREX.r3.3HG0219730	HORVU3Hr1G001540
HORVU.MOREX.r3.3HG0219750	HORVU3Hr1G001510
HORVU.MOREX.r3.3HG0219780	HORVU3Hr1G001560
HORVU.MOREX.r3.3HG0219800	HORVU3Hr1G001670
HORVU.MOREX.r3.3HG0219810	HORVU3Hr1G001660
HORVU.MOREX.r3.3HG0219850	HORVU3Hr1G001590
HORVU.MOREX.r3.3HG0219860	HORVU3Hr1G001570
HORVU.MOREX.r3.3HG0219910	HORVU3Hr1G001920
HORVU.MOREX.r3.3HG0219940	HORVU3Hr1G001890
HORVU.MOREX.r3.3HG0220140	HORVU3Hr1G001960
HORVU.MOREX.r3.3HG0220150	HORVU3Hr1G001990
HORVU.MOREX.r3.3HG0220160	HORVU3Hr1G002000
HORVU.MOREX.r3.3HG0220180	HORVU3Hr1G002010
HORVU.MOREX.r3.3HG0220190	HORVU3Hr1G002020
HORVU.MOREX.r3.3HG0220240	HORVU3Hr1G002090
HORVU.MOREX.r3.3HG0220270	HORVU3Hr1G002060
HORVU.MOREX.r3.3HG0220280	HORVU3Hr1G002050
HORVU.MOREX.r3.3HG0220290	HORVU3Hr1G002040
HORVU.MOREX.r3.3HG0220320	HORVU3Hr1G002120
HORVU.MOREX.r3.3HG0220330	HORVU3Hr1G002030
HORVU.MOREX.r3.3HG0220340	HORVU3Hr1G002130
HORVU.MOREX.r3.3HG0220360	HORVU3Hr1G002150
HORVU.MOREX.r3.3HG0220400	HORVU3Hr1G002220
HORVU.MOREX.r3.3HG0220630	HORVU3Hr1G002440
HORVU.MOREX.r3.3HG0220640	HORVU0Hr1G006050
HORVU.MOREX.r3.3HG0220680	HORVU3Hr1G002470
HORVU.MOREX.r3.3HG0220700	HORVU3Hr1G002490
HORVU.MOREX.r3.3HG0220770	HORVU3Hr1G002540
HORVU.MOREX.r3.3HG0220800	HORVU3Hr1G002570
HORVU.MOREX.r3.3HG0220810	HORVU5Hr1G051360
HORVU.MOREX.r3.3HG0220830	HORVU3Hr1G002530
HORVU.MOREX.r3.3HG0220880	HORVU3Hr1G002530
HORVU.MOREX.r3.3HG0220900	HORVU3Hr1G002660
HORVU.MOREX.r3.3HG0220910	HORVU3Hr1G002670
HORVU.MOREX.r3.3HG0220930	HORVU3Hr1G002710
HORVU.MOREX.r3.3HG0220980	HORVU3Hr1G002740
HORVU.MOREX.r3.3HG0221000	HORVU3Hr1G002750
HORVU.MOREX.r3.3HG0221060	HORVU3Hr1G002780
HORVU.MOREX.r3.3HG0221070	HORVU3Hr1G002780
HORVU.MOREX.r3.3HG0221090	HORVU3Hr1G002790
HORVU.MOREX.r3.3HG0221100	HORVU3Hr1G002800
HORVU.MOREX.r3.3HG0221130	HORVU3Hr1G002820
HORVU.MOREX.r3.3HG0221140	HORVU3Hr1G002830
HORVU.MOREX.r3.3HG0221160	HORVU3Hr1G002900
HORVU.MOREX.r3.3HG0221180	HORVU3Hr1G002840
HORVU.MOREX.r3.3HG0221240	HORVU3Hr1G002920
HORVU.MOREX.r3.3HG0221270	HORVU3Hr1G003100
HORVU.MOREX.r3.3HG0221280	HORVU3Hr1G003060
HORVU.MOREX.r3.3HG0221300	HORVU3Hr1G003050
HORVU.MOREX.r3.3HG0221340	HORVU3Hr1G002980
HORVU.MOREX.r3.3HG0221390	HORVU3Hr1G003020
HORVU.MOREX.r3.3HG0221430	HORVU3Hr1G003040
HORVU.MOREX.r3.3HG0221440	HORVU3Hr1G003110
HORVU.MOREX.r3.3HG0221460	HORVU3Hr1G003140
HORVU.MOREX.r3.3HG0221490	HORVU3Hr1G003150
HORVU.MOREX.r3.3HG0221540	HORVU3Hr1G003220
HORVU.MOREX.r3.3HG0221570	HORVU3Hr1G003330
HORVU.MOREX.r3.3HG0221630	HORVU3Hr1G003400
HORVU.MOREX.r3.3HG0221650	HORVU3Hr1G003390
HORVU.MOREX.r3.3HG0221680	HORVU3Hr1G003470
HORVU.MOREX.r3.3HG0221750	HORVU3Hr1G003450
HORVU.MOREX.r3.3HG0221800	HORVU3Hr1G003410
HORVU.MOREX.r3.3HG0221900	HORVU3Hr1G003540
HORVU.MOREX.r3.3HG0221920	HORVU3Hr1G003580
HORVU.MOREX.r3.3HG0221940	HORVU3Hr1G003600
HORVU.MOREX.r3.3HG0221960	HORVU3Hr1G003650
HORVU.MOREX.r3.3HG0222010	HORVU3Hr1G003720
HORVU.MOREX.r3.3HG0222040	HORVU3Hr1G003760
HORVU.MOREX.r3.3HG0222050	HORVU3Hr1G003740
HORVU.MOREX.r3.3HG0222080	HORVU3Hr1G003810
HORVU.MOREX.r3.3HG0222090	HORVU3Hr1G003820
HORVU.MOREX.r3.3HG0222150	HORVU3Hr1G003850
HORVU.MOREX.r3.3HG0222160	HORVU3Hr1G003860
HORVU.MOREX.r3.3HG0222180	HORVU3Hr1G003880
HORVU.MOREX.r3.3HG0222300	HORVU3Hr1G003920
HORVU.MOREX.r3.3HG0222310	HORVU3Hr1G003910
HORVU.MOREX.r3.3HG0222320	HORVU3Hr1G003950
HORVU.MOREX.r3.3HG0222330	HORVU3Hr1G004050
HORVU.MOREX.r3.3HG0222380	HORVU3Hr1G003980
HORVU.MOREX.r3.3HG0222390	HORVU3Hr1G004070
HORVU.MOREX.r3.3HG0222410	HORVU3Hr1G004140
HORVU.MOREX.r3.3HG0222480	HORVU3Hr1G004090
HORVU.MOREX.r3.3HG0222490	HORVU3Hr1G004100
HORVU.MOREX.r3.3HG0222520	HORVU3Hr1G004180
HORVU.MOREX.r3.3HG0222530	HORVU3Hr1G004190
HORVU.MOREX.r3.3HG0222540	HORVU3Hr1G004210
HORVU.MOREX.r3.3HG0222550	HORVU3Hr1G004220
HORVU.MOREX.r3.3HG0222570	HORVU3Hr1G004280
HORVU.MOREX.r3.3HG0222580	HORVU3Hr1G004270
HORVU.MOREX.r3.3HG0222600	HORVU3Hr1G004310
HORVU.MOREX.r3.3HG0222610	HORVU3Hr1G004320
HORVU.MOREX.r3.3HG0222680	HORVU3Hr1G004360
HORVU.MOREX.r3.3HG0222770	HORVU3Hr1G004520
HORVU.MOREX.r3.3HG0222780	HORVU3Hr1G004510
HORVU.MOREX.r3.3HG0222800	HORVU3Hr1G004470
HORVU.MOREX.r3.3HG0222820	HORVU3Hr1G004440
HORVU.MOREX.r3.3HG0222830	HORVU3Hr1G004420
HORVU.MOREX.r3.3HG0222920	HORVU3Hr1G004740
HORVU.MOREX.r3.3HG0222960	HORVU3Hr1G004710
HORVU.MOREX.r3.3HG0223050	HORVU3Hr1G004650
HORVU.MOREX.r3.3HG0223080	HORVU3Hr1G004590
HORVU.MOREX.r3.3HG0223090	HORVU3Hr1G004570
HORVU.MOREX.r3.3HG0223130	HORVU3Hr1G004810
HORVU.MOREX.r3.3HG0223150	HORVU3Hr1G004860
HORVU.MOREX.r3.3HG0223170	HORVU3Hr1G004840
HORVU.MOREX.r3.3HG0223260	HORVU3Hr1G004920
HORVU.MOREX.r3.3HG0223300	HORVU3Hr1G004890
HORVU.MOREX.r3.3HG0223310	HORVU3Hr1G004880
HORVU.MOREX.r3.3HG0223340	HORVU3Hr1G004960
HORVU.MOREX.r3.3HG0223350	HORVU3Hr1G004990
HORVU.MOREX.r3.3HG0223360	HORVU3Hr1G004950
HORVU.MOREX.r3.3HG0223370	HORVU0Hr1G006120
HORVU.MOREX.r3.3HG0223380	HORVU0Hr1G006130
HORVU.MOREX.r3.3HG0223440	HORVU3Hr1G005010
HORVU.MOREX.r3.3HG0223500	HORVU3Hr1G005040
HORVU.MOREX.r3.3HG0223530	HORVU3Hr1G005020
HORVU.MOREX.r3.3HG0223730	HORVU3Hr1G005230
HORVU.MOREX.r3.3HG0223740	HORVU3Hr1G005330
HORVU.MOREX.r3.3HG0223750	HORVU3Hr1G005320
HORVU.MOREX.r3.3HG0223780	HORVU3Hr1G005290
HORVU.MOREX.r3.3HG0223800	HORVU3Hr1G005270
HORVU.MOREX.r3.3HG0223820	HORVU3Hr1G005350
HORVU.MOREX.r3.3HG0223840	HORVU3Hr1G005380
HORVU.MOREX.r3.3HG0223870	HORVU3Hr1G005470
HORVU.MOREX.r3.3HG0223920	HORVU3Hr1G005450
HORVU.MOREX.r3.3HG0223930	HORVU3Hr1G005430
HORVU.MOREX.r3.3HG0223940	HORVU3Hr1G005420
HORVU.MOREX.r3.3HG0223950	HORVU3Hr1G005410
HORVU.MOREX.r3.3HG0223960	HORVU3Hr1G005400
HORVU.MOREX.r3.3HG0224000	HORVU3Hr1G005500
HORVU.MOREX.r3.3HG0224040	HORVU3Hr1G005560
HORVU.MOREX.r3.3HG0224130	HORVU3Hr1G005640
HORVU.MOREX.r3.3HG0224180	HORVU3Hr1G005780
HORVU.MOREX.r3.3HG0224200	HORVU3Hr1G005770
HORVU.MOREX.r3.3HG0224260	HORVU3Hr1G005830
HORVU.MOREX.r3.3HG0224270	HORVU3Hr1G005820
HORVU.MOREX.r3.3HG0224440	HORVU3Hr1G005990
HORVU.MOREX.r3.3HG0224450	HORVU3Hr1G006000
HORVU.MOREX.r3.3HG0224500	HORVU3Hr1G006040
HORVU.MOREX.r3.3HG0224510	HORVU3Hr1G006060
HORVU.MOREX.r3.3HG0224520	HORVU3Hr1G006140
HORVU.MOREX.r3.3HG0224530	HORVU3Hr1G006140
HORVU.MOREX.r3.3HG0224540	HORVU3Hr1G006130
HORVU.MOREX.r3.3HG0224580	HORVU3Hr1G006260
HORVU.MOREX.r3.3HG0224620	HORVU3Hr1G006250
HORVU.MOREX.r3.3HG0224630	HORVU3Hr1G006230
HORVU.MOREX.r3.3HG0224680	HORVU3Hr1G006200
HORVU.MOREX.r3.3HG0224690	HORVU3Hr1G006180
HORVU.MOREX.r3.3HG0224710	HORVU3Hr1G006170
HORVU.MOREX.r3.3HG0224730	HORVU3Hr1G006150
HORVU.MOREX.r3.3HG0224740	HORVU3Hr1G006270
HORVU.MOREX.r3.3HG0224760	HORVU3Hr1G006290
HORVU.MOREX.r3.3HG0224790	HORVU3Hr1G006320
HORVU.MOREX.r3.3HG0224800	HORVU3Hr1G006320
HORVU.MOREX.r3.3HG0224810	HORVU3Hr1G006330
HORVU.MOREX.r3.3HG0224820	HORVU3Hr1G006450
HORVU.MOREX.r3.3HG0224850	HORVU3Hr1G006440
HORVU.MOREX.r3.3HG0224870	HORVU3Hr1G006430
HORVU.MOREX.r3.3HG0224880	HORVU3Hr1G006430
HORVU.MOREX.r3.3HG0224910	HORVU3Hr1G006410
HORVU.MOREX.r3.3HG0225020	HORVU3Hr1G006540
HORVU.MOREX.r3.3HG0225040	HORVU3Hr1G006530
HORVU.MOREX.r3.3HG0225230	HORVU3Hr1G006640
HORVU.MOREX.r3.3HG0225240	HORVU3Hr1G006620
HORVU.MOREX.r3.3HG0225270	HORVU3Hr1G006800
HORVU.MOREX.r3.3HG0225280	HORVU3Hr1G006790
HORVU.MOREX.r3.3HG0225290	HORVU3Hr1G006770
HORVU.MOREX.r3.3HG0225300	HORVU3Hr1G006760
HORVU.MOREX.r3.3HG0225310	HORVU3Hr1G006740
HORVU.MOREX.r3.3HG0225340	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225360	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225370	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225380	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225390	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225400	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225410	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225420	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225430	HORVU3Hr1G006830
HORVU.MOREX.r3.3HG0225440	HORVU3Hr1G006820
HORVU.MOREX.r3.3HG0225450	HORVU3Hr1G006810
HORVU.MOREX.r3.3HG0225490	HORVU3Hr1G006900
HORVU.MOREX.r3.3HG0225500	HORVU3Hr1G006940
HORVU.MOREX.r3.3HG0225510	HORVU3Hr1G006940
HORVU.MOREX.r3.3HG0225590	HORVU3Hr1G007110
HORVU.MOREX.r3.3HG0225620	HORVU3Hr1G007070
HORVU.MOREX.r3.3HG0225630	HORVU3Hr1G007060
HORVU.MOREX.r3.3HG0225640	HORVU3Hr1G007040
HORVU.MOREX.r3.3HG0225680	HORVU3Hr1G007200
HORVU.MOREX.r3.3HG0225690	HORVU3Hr1G007210
HORVU.MOREX.r3.3HG0225760	HORVU3Hr1G007180
HORVU.MOREX.r3.3HG0225770	HORVU3Hr1G007190
HORVU.MOREX.r3.3HG0225790	HORVU3Hr1G007230
HORVU.MOREX.r3.3HG0225840	HORVU3Hr1G007160
HORVU.MOREX.r3.3HG0225850	HORVU3Hr1G007150
HORVU.MOREX.r3.3HG0225870	HORVU3Hr1G007130
HORVU.MOREX.r3.3HG0225880	HORVU3Hr1G007120
HORVU.MOREX.r3.3HG0225910	HORVU3Hr1G007250
HORVU.MOREX.r3.3HG0225920	HORVU3Hr1G007270
HORVU.MOREX.r3.3HG0225930	HORVU3Hr1G007280
HORVU.MOREX.r3.3HG0225960	HORVU3Hr1G007290
HORVU.MOREX.r3.3HG0226030	HORVU3Hr1G007470
HORVU.MOREX.r3.3HG0226040	HORVU3Hr1G007460
HORVU.MOREX.r3.3HG0226060	HORVU3Hr1G007420
HORVU.MOREX.r3.3HG0226070	HORVU3Hr1G007420
HORVU.MOREX.r3.3HG0226080	HORVU3Hr1G007410
HORVU.MOREX.r3.3HG0226110	HORVU3Hr1G007380
HORVU.MOREX.r3.3HG0226120	HORVU3Hr1G007500
HORVU.MOREX.r3.3HG0226130	HORVU3Hr1G007500
HORVU.MOREX.r3.3HG0226140	HORVU3Hr1G007500
HORVU.MOREX.r3.3HG0226150	HORVU3Hr1G007540
HORVU.MOREX.r3.3HG0226160	HORVU3Hr1G007540
HORVU.MOREX.r3.3HG0226170	HORVU3Hr1G007540
HORVU.MOREX.r3.3HG0226180	HORVU3Hr1G007540
HORVU.MOREX.r3.3HG0226190	HORVU3Hr1G007540
HORVU.MOREX.r3.3HG0226200	HORVU3Hr1G007560
HORVU.MOREX.r3.3HG0226210	HORVU3Hr1G007570
HORVU.MOREX.r3.3HG0226230	HORVU3Hr1G007590
HORVU.MOREX.r3.3HG0226280	HORVU0Hr1G006150
HORVU.MOREX.r3.3HG0226300	HORVU0Hr1G006150
HORVU.MOREX.r3.3HG0226370	HORVU3Hr1G007680
HORVU.MOREX.r3.3HG0226380	HORVU3Hr1G007680
HORVU.MOREX.r3.3HG0226400	HORVU3Hr1G007680
HORVU.MOREX.r3.3HG0226430	HORVU3Hr1G007680
HORVU.MOREX.r3.3HG0226460	HORVU3Hr1G007680
HORVU.MOREX.r3.3HG0226470	HORVU3Hr1G007920
HORVU.MOREX.r3.3HG0226480	HORVU3Hr1G007920
HORVU.MOREX.r3.3HG0226500	HORVU3Hr1G007910
HORVU.MOREX.r3.3HG0226510	HORVU3Hr1G007900
HORVU.MOREX.r3.3HG0226580	HORVU3Hr1G007960
HORVU.MOREX.r3.3HG0226590	HORVU3Hr1G007970
HORVU.MOREX.r3.3HG0226600	HORVU3Hr1G007980
HORVU.MOREX.r3.3HG0226750	HORVU3Hr1G008280
HORVU.MOREX.r3.3HG0226780	HORVU3Hr1G008400
HORVU.MOREX.r3.3HG0226800	HORVU3Hr1G008420
HORVU.MOREX.r3.3HG0226810	HORVU3Hr1G008430
HORVU.MOREX.r3.3HG0227170	HORVU3Hr1G009240
HORVU.MOREX.r3.3HG0227220	HORVU3Hr1G009130
HORVU.MOREX.r3.3HG0227230	HORVU3Hr1G009110
HORVU.MOREX.r3.3HG0227330	HORVU3Hr1G009340
HORVU.MOREX.r3.3HG0227390	HORVU3Hr1G009490
HORVU.MOREX.r3.3HG0227400	HORVU3Hr1G009490
HORVU.MOREX.r3.3HG0227700	HORVU3Hr1G009980
HORVU.MOREX.r3.3HG0227720	HORVU3Hr1G010030
HORVU.MOREX.r3.3HG0227750	HORVU3Hr1G010070
HORVU.MOREX.r3.3HG0227760	HORVU3Hr1G010060
HORVU.MOREX.r3.3HG0227780	HORVU3Hr1G010140
HORVU.MOREX.r3.3HG0227850	HORVU3Hr1G010240
HORVU.MOREX.r3.3HG0227860	HORVU3Hr1G010300
HORVU.MOREX.r3.3HG0227880	HORVU3Hr1G010310
HORVU.MOREX.r3.3HG0227890	HORVU3Hr1G010290
HORVU.MOREX.r3.3HG0227900	HORVU3Hr1G010280
HORVU.MOREX.r3.3HG0227910	HORVU3Hr1G010360
HORVU.MOREX.r3.3HG0227920	HORVU3Hr1G010370
HORVU.MOREX.r3.3HG0227930	HORVU3Hr1G010380
HORVU.MOREX.r3.3HG0227940	HORVU3Hr1G010390
HORVU.MOREX.r3.3HG0227980	HORVU3Hr1G010460
HORVU.MOREX.r3.3HG0228010	HORVU3Hr1G010550
HORVU.MOREX.r3.3HG0228020	HORVU3Hr1G010540
HORVU.MOREX.r3.3HG0228030	HORVU3Hr1G010530
HORVU.MOREX.r3.3HG0228040	HORVU3Hr1G010530
HORVU.MOREX.r3.3HG0228060	HORVU3Hr1G010480
HORVU.MOREX.r3.3HG0228100	HORVU3Hr1G010630
HORVU.MOREX.r3.3HG0228120	HORVU3Hr1G010620
HORVU.MOREX.r3.3HG0228140	HORVU3Hr1G010600
HORVU.MOREX.r3.3HG0228150	HORVU3Hr1G010590
HORVU.MOREX.r3.3HG0228170	HORVU3Hr1G010570
HORVU.MOREX.r3.3HG0228230	HORVU3Hr1G010830
HORVU.MOREX.r3.3HG0228240	HORVU3Hr1G010800
HORVU.MOREX.r3.3HG0228250	HORVU3Hr1G010780
HORVU.MOREX.r3.3HG0228260	HORVU3Hr1G010760
HORVU.MOREX.r3.3HG0228290	HORVU3Hr1G010920
HORVU.MOREX.r3.3HG0228400	HORVU3Hr1G010980
HORVU.MOREX.r3.3HG0228430	HORVU3Hr1G011030
HORVU.MOREX.r3.3HG0228520	HORVU3Hr1G011200
HORVU.MOREX.r3.3HG0228600	HORVU3Hr1G011300
HORVU.MOREX.r3.3HG0228660	HORVU3Hr1G011330
HORVU.MOREX.r3.3HG0228670	HORVU3Hr1G011350
HORVU.MOREX.r3.3HG0228690	HORVU3Hr1G011440
HORVU.MOREX.r3.3HG0228700	HORVU3Hr1G011430
HORVU.MOREX.r3.3HG0228770	HORVU3Hr1G011380
HORVU.MOREX.r3.3HG0228790	HORVU3Hr1G011460
HORVU.MOREX.r3.3HG0228800	HORVU3Hr1G011480
HORVU.MOREX.r3.3HG0228830	HORVU3Hr1G011470
HORVU.MOREX.r3.3HG0228850	HORVU3Hr1G011580
HORVU.MOREX.r3.3HG0228860	HORVU3Hr1G011560
HORVU.MOREX.r3.3HG0228870	HORVU3Hr1G011540
HORVU.MOREX.r3.3HG0228940	HORVU3Hr1G011640
HORVU.MOREX.r3.3HG0229000	HORVU3Hr1G011680
HORVU.MOREX.r3.3HG0229050	HORVU3Hr1G011690
HORVU.MOREX.r3.3HG0229060	HORVU3Hr1G011760
HORVU.MOREX.r3.3HG0229090	HORVU3Hr1G011710
HORVU.MOREX.r3.3HG0229110	HORVU3Hr1G011730
HORVU.MOREX.r3.3HG0229120	HORVU3Hr1G011780
HORVU.MOREX.r3.3HG0229130	HORVU3Hr1G011800
HORVU.MOREX.r3.3HG0229220	HORVU3Hr1G011900
HORVU.MOREX.r3.3HG0229250	HORVU3Hr1G011920
HORVU.MOREX.r3.3HG0229260	HORVU3Hr1G011970
HORVU.MOREX.r3.3HG0229300	HORVU3Hr1G011990
HORVU.MOREX.r3.3HG0229460	HORVU3Hr1G012170
HORVU.MOREX.r3.3HG0229470	HORVU3Hr1G012170
HORVU.MOREX.r3.3HG0229480	HORVU3Hr1G012150
HORVU.MOREX.r3.3HG0229510	HORVU3Hr1G012280
HORVU.MOREX.r3.3HG0229520	HORVU3Hr1G012260
HORVU.MOREX.r3.3HG0229530	HORVU3Hr1G012260
HORVU.MOREX.r3.3HG0229610	HORVU3Hr1G012310
HORVU.MOREX.r3.3HG0229650	HORVU3Hr1G012410
HORVU.MOREX.r3.3HG0229660	HORVU3Hr1G012420
HORVU.MOREX.r3.3HG0229690	HORVU3Hr1G012510
HORVU.MOREX.r3.3HG0229700	HORVU3Hr1G012510
HORVU.MOREX.r3.3HG0229710	HORVU3Hr1G012520
HORVU.MOREX.r3.3HG0229720	HORVU3Hr1G012530
HORVU.MOREX.r3.3HG0229730	HORVU3Hr1G012530
HORVU.MOREX.r3.3HG0229750	HORVU3Hr1G012550
HORVU.MOREX.r3.3HG0229800	HORVU3Hr1G012620
HORVU.MOREX.r3.3HG0229810	HORVU3Hr1G012620
HORVU.MOREX.r3.3HG0229820	HORVU3Hr1G012620
HORVU.MOREX.r3.3HG0229830	HORVU3Hr1G012340
HORVU.MOREX.r3.3HG0229840	HORVU3Hr1G012340
HORVU.MOREX.r3.3HG0229870	HORVU3Hr1G012660
HORVU.MOREX.r3.3HG0229880	HORVU3Hr1G012650
HORVU.MOREX.r3.3HG0229890	HORVU3Hr1G012630
HORVU.MOREX.r3.3HG0229980	HORVU3Hr1G012760
HORVU.MOREX.r3.3HG0230030	HORVU3Hr1G012880
HORVU.MOREX.r3.3HG0230060	HORVU3Hr1G012860
HORVU.MOREX.r3.3HG0230070	HORVU3Hr1G012850
HORVU.MOREX.r3.3HG0230090	HORVU0Hr1G040360
HORVU.MOREX.r3.3HG0230160	HORVU3Hr1G012950
HORVU.MOREX.r3.3HG0230170	HORVU3Hr1G012980
HORVU.MOREX.r3.3HG0230180	HORVU3Hr1G012990
HORVU.MOREX.r3.3HG0230200	HORVU3Hr1G013010
HORVU.MOREX.r3.3HG0230230	HORVU3Hr1G013030
HORVU.MOREX.r3.3HG0230270	HORVU3Hr1G013060
HORVU.MOREX.r3.3HG0230290	HORVU3Hr1G013090
HORVU.MOREX.r3.3HG0230300	HORVU3Hr1G013100
HORVU.MOREX.r3.3HG0230310	HORVU3Hr1G013100
HORVU.MOREX.r3.3HG0230320	HORVU3Hr1G013100
HORVU.MOREX.r3.3HG0230380	HORVU3Hr1G013160
HORVU.MOREX.r3.3HG0230420	HORVU3Hr1G013170
HORVU.MOREX.r3.3HG0230430	HORVU3Hr1G013180
HORVU.MOREX.r3.3HG0230460	HORVU3Hr1G013230
HORVU.MOREX.r3.3HG0230500	HORVU3Hr1G013250
HORVU.MOREX.r3.3HG0230520	HORVU3Hr1G013270
HORVU.MOREX.r3.3HG0230530	HORVU3Hr1G013280
HORVU.MOREX.r3.3HG0230550	HORVU3Hr1G013330
